Company,Row,Year,Data,Section,Row_Label,Notes,Consistency test
VerdaTyres Corp,1,2009,53,ISO 14001,Total no. of sites,,
VerdaTyres Corp,2,2009,53,ISO 14001,ISO 14001 sites,,
VerdaTyres Corp,3,2009,0.96,ISO 14001,% certified sites,,
VerdaTyres Corp,4,2009,,,,,
VerdaTyres Corp,5,2009,"1,287,667.41",Production,Production,,
VerdaTyres Corp,6,2009,,,,,
VerdaTyres Corp,7,2009,"10,733,992.51",Water,Water intake,,
VerdaTyres Corp,8,2009,8.34,Water,Water intake - KPI,,
VerdaTyres Corp,9,2009,,,,,
VerdaTyres Corp,10,2009,"5,280,887.98",Energy,Total Electricity,,
VerdaTyres Corp,11,2009,"561,095.14",Energy,Renewable Electricity Purchased,,
VerdaTyres Corp,12,2009,"4,719,792.84",Energy,Non-Renewable Electricity Purchased,,
VerdaTyres Corp,13,2009,"28,054.76",Energy,Self-generated AND consumed electricity on-site,,
VerdaTyres Corp,14,2009,"159,571.44",Energy,Purchased Steam,,
VerdaTyres Corp,15,2009,0,Energy,Sold Electricity,,
VerdaTyres Corp,16,2009,0,Energy,Sold Steam,,
VerdaTyres Corp,17,2009,"5,551,786.01",Energy,Natural Gas,,
VerdaTyres Corp,18,2009,"167,057.67",Energy,Coal,,
VerdaTyres Corp,19,2009,"182,524.71",Energy,Propane,,
VerdaTyres Corp,20,2009,"403,030.43",Energy,Fuel Oil,,
VerdaTyres Corp,21,2009,"87,500.65",Energy,Diesel,,
VerdaTyres Corp,22,2009,"18,230.96",Energy,Petrol,,
VerdaTyres Corp,23,2009,0.00,Energy,Biomass,,
VerdaTyres Corp,24,2009,0.00,Energy,Waste tires,,
VerdaTyres Corp,25,2009,"387,829.32",Energy,LPG,,
VerdaTyres Corp,26,2009,"2,289.46",Energy,Other,,
VerdaTyres Corp,27,2009,,,,,
VerdaTyres Corp,28,2009,"12,240,708.63",Energy,Total energy,,
VerdaTyres Corp,29,2009,9.51,Energy,Total energy - KPI,,
VerdaTyres Corp,30,2009,,,,,
VerdaTyres Corp,31,2009,"311,455.20",CO2 emissions,Natural Gas,,
VerdaTyres Corp,32,2009,"15,870.48",CO2 emissions,Coal,,
VerdaTyres Corp,33,2009,"11,517.31",CO2 emissions,Propane,,
VerdaTyres Corp,34,2009,"31,194.56",CO2 emissions,Fuel Oil,,
VerdaTyres Corp,35,2009,"6,483.80",CO2 emissions,Diesel,,
VerdaTyres Corp,36,2009,"1,263.41",CO2 emissions,Petrol,,
VerdaTyres Corp,37,2009,0,CO2 emissions,Biomass,,
VerdaTyres Corp,38,2009,0,CO2 emissions,Waste tires,,
VerdaTyres Corp,39,2009,"21,757.22",CO2 emissions,LPG,,
VerdaTyres Corp,40,2009,164.61,CO2 emissions,Other,,
VerdaTyres Corp,41,2009,"399,706.58",CO2 emissions,Total CO2 - Scope 1,,
VerdaTyres Corp,42,2009,,,,,
VerdaTyres Corp,43,2009,"589,974.10",CO2 emissions,Total CO2 - Scope 2,,
VerdaTyres Corp,44,2009,,,,,
VerdaTyres Corp,45,2009,"989,680.68",CO2 emissions,Total CO2,,
VerdaTyres Corp,46,2009,0.77,CO2 emissions,Total CO2 - KPI,,
VerdaTyres Corp,1,2010,53,ISO 14001,Total no. of sites,,
VerdaTyres Corp,2,2010,53,ISO 14001,ISO 14001 sites,,
VerdaTyres Corp,3,2010,0.86,ISO 14001,% certified sites,,
VerdaTyres Corp,4,2010,,,,,
VerdaTyres Corp,5,2010,"1,215,645.14",Production,Production,,
VerdaTyres Corp,6,2010,,,,,
VerdaTyres Corp,7,2010,"9,644,463.88",Water,Water intake,,
VerdaTyres Corp,8,2010,7.93,Water,Water intake - KPI,,
VerdaTyres Corp,9,2010,,,,,
VerdaTyres Corp,10,2010,"4,710,754.11",Energy,Total Electricity,,
VerdaTyres Corp,11,2010,"538,204.37",Energy,Renewable Electricity Purchased,,
VerdaTyres Corp,12,2010,"4,172,549.74",Energy,Non-Renewable Electricity Purchased,,
VerdaTyres Corp,13,2010,"26,910.22",Energy,Self-generated AND consumed electricity on-site,,
VerdaTyres Corp,14,2010,"160,876.92",Energy,Purchased Steam,,
VerdaTyres Corp,15,2010,0,Energy,Sold Electricity,,
VerdaTyres Corp,16,2010,0,Energy,Sold Steam,,
VerdaTyres Corp,17,2010,"5,766,108.87",Energy,Natural Gas,,
VerdaTyres Corp,18,2010,"144,393.39",Energy,Coal,,
VerdaTyres Corp,19,2010,"179,792.39",Energy,Propane,,
VerdaTyres Corp,20,2010,"345,110.51",Energy,Fuel Oil,,
VerdaTyres Corp,21,2010,"85,288.71",Energy,Diesel,,
VerdaTyres Corp,22,2010,"18,886.48",Energy,Petrol,,
VerdaTyres Corp,23,2010,0.00,Energy,Biomass,,
VerdaTyres Corp,24,2010,0.00,Energy,Waste tires,,
VerdaTyres Corp,25,2010,"438,829.61",Energy,LPG,,
VerdaTyres Corp,26,2010,"2,435.47",Energy,Other,,
VerdaTyres Corp,27,2010,,,,,
VerdaTyres Corp,28,2010,"11,852,476.46",Energy,Total energy,,
VerdaTyres Corp,29,2010,9.75,Energy,Total energy - KPI,,
VerdaTyres Corp,30,2010,,,,,
VerdaTyres Corp,31,2010,"323,478.71",CO2 emissions,Natural Gas,,
VerdaTyres Corp,32,2010,"13,717.37",CO2 emissions,Coal,,
VerdaTyres Corp,33,2010,"11,344.90",CO2 emissions,Propane,,
VerdaTyres Corp,34,2010,"26,711.55",CO2 emissions,Fuel Oil,,
VerdaTyres Corp,35,2010,"6,319.89",CO2 emissions,Diesel,,
VerdaTyres Corp,36,2010,"1,308.83",CO2 emissions,Petrol,,
VerdaTyres Corp,37,2010,0,CO2 emissions,Biomass,,
VerdaTyres Corp,38,2010,0,CO2 emissions,Waste tires,,
VerdaTyres Corp,39,2010,"24,618.34",CO2 emissions,LPG,,
VerdaTyres Corp,40,2010,175.11,CO2 emissions,Other,,
VerdaTyres Corp,41,2010,"407,674.71",CO2 emissions,Total CO2 - Scope 1,,
VerdaTyres Corp,42,2010,,,,,
VerdaTyres Corp,43,2010,"521,568.72",CO2 emissions,Total CO2 - Scope 2,,
VerdaTyres Corp,44,2010,,,,,
VerdaTyres Corp,45,2010,"929,243.43",CO2 emissions,Total CO2,,
VerdaTyres Corp,46,2010,0.76,CO2 emissions,Total CO2 - KPI,,
VerdaTyres Corp,1,2011,53,ISO 14001,Total no. of sites,,
VerdaTyres Corp,2,2011,53,ISO 14001,ISO 14001 sites,,
VerdaTyres Corp,3,2011,0.96,ISO 14001,% certified sites,,
VerdaTyres Corp,4,2011,,,,,
VerdaTyres Corp,5,2011,"1,220,912.54",Production,Production,,
VerdaTyres Corp,6,2011,,,,,
VerdaTyres Corp,7,2011,"9,573,912.26",Water,Water intake,,
VerdaTyres Corp,8,2011,7.84,Water,Water intake - KPI,,
VerdaTyres Corp,9,2011,,,,,
VerdaTyres Corp,10,2011,"5,055,307.26",Energy,Total Electricity,,
VerdaTyres Corp,11,2011,"618,012.07",Energy,Renewable Electricity Purchased,,
VerdaTyres Corp,12,2011,"4,437,295.19",Energy,Non-Renewable Electricity Purchased,,
VerdaTyres Corp,13,2011,"30,900.60",Energy,Self-generated AND consumed electricity on-site,,
VerdaTyres Corp,14,2011,"184,254.04",Energy,Purchased Steam,,
VerdaTyres Corp,15,2011,0,Energy,Sold Electricity,,
VerdaTyres Corp,16,2011,0,Energy,Sold Steam,,
VerdaTyres Corp,17,2011,"5,910,737.33",Energy,Natural Gas,,
VerdaTyres Corp,18,2011,"137,720.20",Energy,Coal,,
VerdaTyres Corp,19,2011,"193,639.96",Energy,Propane,,
VerdaTyres Corp,20,2011,"361,692.98",Energy,Fuel Oil,,
VerdaTyres Corp,21,2011,"94,760.12",Energy,Diesel,,
VerdaTyres Corp,22,2011,"16,887.85",Energy,Petrol,,
VerdaTyres Corp,23,2011,0.00,Energy,Biomass,,
VerdaTyres Corp,24,2011,0.00,Energy,Waste tires,,
VerdaTyres Corp,25,2011,"406,256.51",Energy,LPG,,
VerdaTyres Corp,26,2011,"2,322.99",Energy,Other,,
VerdaTyres Corp,27,2011,,,,,
VerdaTyres Corp,28,2011,"12,363,579.25",Energy,Total energy,,
VerdaTyres Corp,29,2011,10.13,Energy,Total energy - KPI,,
VerdaTyres Corp,30,2011,,,,,
VerdaTyres Corp,31,2011,"331,592.36",CO2 emissions,Natural Gas,,
VerdaTyres Corp,32,2011,"13,083.42",CO2 emissions,Coal,,
VerdaTyres Corp,33,2011,"12,218.68",CO2 emissions,Propane,,
VerdaTyres Corp,34,2011,"27,995.04",CO2 emissions,Fuel Oil,,
VerdaTyres Corp,35,2011,"7,021.73",CO2 emissions,Diesel,,
VerdaTyres Corp,36,2011,"1,170.33",CO2 emissions,Petrol,,
VerdaTyres Corp,37,2011,0,CO2 emissions,Biomass,,
VerdaTyres Corp,38,2011,0,CO2 emissions,Waste tires,,
VerdaTyres Corp,39,2011,"22,790.99",CO2 emissions,LPG,,
VerdaTyres Corp,40,2011,167.02,CO2 emissions,Other,,
VerdaTyres Corp,41,2011,"416,039.57",CO2 emissions,Total CO2 - Scope 1,,
VerdaTyres Corp,42,2011,,,,,
VerdaTyres Corp,43,2011,"554,661.90",CO2 emissions,Total CO2 - Scope 2,,
VerdaTyres Corp,44,2011,,,,,
