Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Chile_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Australia_GJ,Elec_Japan_GJ,Elec_Korea_GJ,Elec_New_Zealand_GJ,Elec_Austria_GJ,Elec_Belgium_GJ,Elec_Czech_Republic_GJ,Elec_Denmark_GJ,Elec_Finland_GJ,Elec_France_GJ,Elec_Germany_GJ,Elec_Hungary_GJ,Elec_Iceland_GJ,Elec_Ireland_GJ,Elec_Italy_GJ,Elec_Luxembourg_GJ,Elec_Netherlands_GJ,Elec_Norway_GJ,Elec_Poland_GJ,Elec_Portugal_GJ,Elec_Spain_GJ,Elec_Sweden_GJ,Elec_Switzerland_GJ,Elec_Turkey_GJ,Elec_United_Kingdom_GJ,Elec_China_GJ,Elec_India_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
AlphaTread Ltd,2009,14.0,14.0,0.9578,805064.499064518,6776399.49598379,8.4172131597629,2951009.07198144,440098.898223628,2510910.17375781,22004.9449111814,429856.071295029,0.0,0.0,3776083.18282769,480409.1710231,279038.957447798,468207.070475802,61706.5419391179,21935.9772467058,0.0,0.0,958146.206354386,2229.65188358302,9428621.90247465,11.7116354198088,371328.655401407,313863.771719726,685192.427121133,0.851102523980779,8261.91,5701.32,69.0073,430227.0,0.0,277277.4,1471866.12,0.0,352932.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137066.616,0.0,112413.42,0.0,0.0,110205.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9135,54.1933,45.8067,64.1425,8.4172,0.8511,11.7116,95.78,69.0073,2891988.9
AlphaTread Ltd,2010,14.0,14.0,0.862,878191.969398113,7430771.62109679,8.46144337460707,3174018.51041717,498749.571020052,2675268.93939712,24937.4785510026,421355.410300434,0.0,0.0,3660133.2879811,416794.292440057,292278.926393798,459276.906286207,63352.4699422482,22344.786670075,0.0,0.0,917621.076473665,2390.52817021946,9429566.19507497,10.7374771390107,356813.101144115,334408.61742464,691221.718568754,0.787096378303821,8776.55,4914.51,55.9959,481319.172,0.0,317486.88,1515828.528,0.0,372451.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165180.132,0.0,123654.204,0.0,0.0,122452.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7135,51.6206,48.3794,61.8713,8.4614,0.7871,10.7375,86.2,55.9959,3098372.472
AlphaTread Ltd,2011,14.0,14.0,0.9902,840895.849070387,7137289.48163449,8.48772114825491,3313518.82326609,547178.110842165,2766340.71242393,27358.9055421082,402307.425395553,0.0,0.0,3850000.69373166,421654.660885086,272791.749541657,440181.091551469,66507.1268370072,20426.392038162,0.0,0.0,945953.725836061,2547.08006815908,9735888.76915091,11.577995990721,366920.273727762,345792.589052991,712712.862780753,0.847563778045354,9608.22,7841.51,81.6125,470324.88,0.0,327392.136,1651360.968,0.0,376089.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164598.552,0.0,127038.6,0.0,0.0,130444.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5135,51.4822,48.5178,61.8337,8.4877,0.8476,11.578,99.02,81.6125,3247248.492
AlphaTread Ltd,2012,15.0,15.0,0.861,925877.809777779,7870332.6777615,8.50040101906155,3155804.75672856,546380.427952633,2609424.32877593,27319.0213976317,459657.119155572,0.0,0.0,4252777.69934423,399854.434677705,282496.513918378,404869.054241662,68948.1211584556,22640.0275535341,0.0,0.0,992405.225529353,2542.84476561502,10041995.7970731,10.8459190737958,388264.168432293,326178.041096991,714442.209529284,0.771637684783437,11513.02,7997.62,69.4659,453976.236,0.0,326161.98,1549623.204,0.0,366825.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150544.116,0.0,127379.556,0.0,0.0,128473.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3135,54.3451,45.6549,63.9966,8.5004,0.7716,10.8459,86.1,69.4659,3102983.856
AlphaTread Ltd,2013,15.0,15.0,0.8512,899363.105969587,8419229.29338578,9.36132384962486,3247543.8374182,588244.029369665,2659299.80804853,29412.2014684832,451354.16932675,0.0,0.0,4389786.73891617,323471.296521278,277063.43222857,377782.346865662,67545.492838243,21127.3395758744,0.0,0.0,1014391.3128804,2441.08132237138,10172507.0478935,11.3107898026645,387271.977495334,332412.476006067,719684.453501401,0.800215673429835,7299.33,5023.87,68.8265,473808.312,0.0,329468.94,1570896.432,0.0,397146.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160538.04,0.0,135574.956,0.0,0.0,125193.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1135,53.8114,46.1886,63.6383,9.3613,0.8002,11.3108,85.12,68.8265,3192625.98
AlphaTread Ltd,2014,15.0,15.0,0.9451,855115.235934272,7330781.4532837,8.57285795554129,3425204.29309584,647826.200002604,2777378.09309324,32391.3100001302,479026.732966414,0.0,0.0,4427250.37910734,289938.707882863,298246.992114073,364429.221455721,63056.3839506196,22877.1063017862,0.0,0.0,1042716.05051884,2269.10199273299,10415014.9693862,12.1796624966074,387856.510844704,347172.261636655,735028.772481358,0.859566923372952,8882.48,5157.5,58.0637,523900.368,0.0,347680.368,1634640.984,0.0,408477.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172833.12,0.0,134755.02,0.0,0.0,134412.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9135,52.7675,47.2325,62.5134,8.5729,0.8596,12.1797,94.51,58.0637,3356700.228
AlphaTread Ltd,2015,16.0,16.0,1.0,953054.122075118,8561252.49246297,8.98296570379683,3467171.27205071,683500.997022928,2783670.27502778,34175.0498511464,423772.36202988,0.0,0.0,3996741.28717491,293733.891623399,328596.35519261,355310.693495092,73767.9785719079,22215.4341233747,0.0,0.0,984279.466556677,2218.33376294662,9947807.07458151,10.4378196832325,362740.696672223,347958.784378473,710699.481050696,0.745707368122248,9237.92,5313.08,57.5138,521356.392,0.0,347677.992,1693708.956,0.0,394693.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164625.768,0.0,136738.332,0.0,0.0,139026.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7135,51.04,48.96,60.8864,8.983,0.7457,10.4378,100.0,57.5138,3397827.852
AlphaTread Ltd,2016,16.0,16.0,1.0,908820.932901096,8613840.22897491,9.47803898120855,3753820.85045137,770040.244032916,2983780.60641845,38502.0122016458,496961.443201812,0.0,0.0,4661045.7178571,232076.47284691,302720.508405051,306725.828781994,74748.0301493517,23273.5822785932,0.0,0.0,1049716.47161157,2404.48907163973,10903493.3946554,11.9974056493723,392587.838027958,372972.575802307,765560.413830265,0.842366616035657,12913.99,9821.95,76.0567,571070.556,0.0,359771.436,1813401.18,399.6,468411.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189688.608,0.0,142783.308,0.0,0.0,144168.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5135,51.2811,48.7189,61.0145,9.478,0.8424,11.9974,100.0,76.0567,3689695.188
AlphaTread Ltd,2017,16.0,16.0,1.0,904609.119471776,8613765.71068549,9.52208586589896,3873796.18406391,825641.760082074,3048154.42398184,41282.0880041037,516402.840422593,0.0,0.0,4697104.89252188,222775.827233409,297580.134169757,313790.485310465,71102.0100833885,23437.3471762746,0.0,0.0,1140984.20241789,2496.35687754152,11159470.2802771,12.3362345570797,398817.547008427,381019.30299773,779836.850006156,0.862070515563145,11438.34,6306.72,55.1367,547266.888,0.0,379494.792,1924506.648,0.0,460071.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183620.628,0.0,154266.948,0.0,0.0,147092.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3135,51.1412,48.8588,60.6594,9.5221,0.8621,12.3362,100.0,55.1367,3796320.312
AlphaTread Ltd,2018,17.0,17.0,1.0,1026082.30459052,8800585.21430324,8.57688040708912,3908328.09343336,864268.345208477,3044059.74822488,43213.4172604239,459123.746421864,0.0,0.0,4839832.0249136,186689.481244945,314176.859630137,291189.792821424,74112.2278040039,21242.556747117,0.0,0.0,1163529.9733652,2256.13352730381,11260480.889909,10.9742472309789,404012.799892215,380507.46852811,784520.268420325,0.764578304206707,10545.87,7925.78,75.1553,576812.34,0.0,392103.504,1924219.476,0.0,457752.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181738.908,0.0,149544.216,0.0,0.0,147990.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1135,51.4981,48.5019,61.2143,8.5769,0.7646,10.9742,100.0,75.1553,3830161.572
AlphaTread Ltd,2019,17.0,17.0,1.0,921412.750099888,7806076.42432901,8.47185631356064,3708010.7633605,849635.247650169,2858375.51571033,42481.7623825085,528974.319205595,0.0,0.0,5009245.04068846,138097.127332392,343082.315468049,247911.223927332,81967.2254759098,22053.0281121412,0.0,0.0,1213376.32335534,2213.76541844009,11294931.1323442,12.2582752747015,410806.324446966,357296.939463792,768103.263910757,0.833614754980858,8945.01,7269.72,81.2712,532486.692,0.0,372894.768,1817663.364,0.0,443286.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179460.864,0.0,144634.644,0.0,0.0,143423.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9135,53.4832,46.5168,62.4877,8.4719,0.8336,12.2583,100.0,81.2712,3633850.584
AlphaTread Ltd,2020,17.0,17.0,1.0,1093951.36076644,9245090.60177174,8.45109840650911,4176844.08568692,990476.149109961,3186367.93657696,49523.8074554981,490700.722616697,0.0,0.0,4456392.97008353,108604.047118691,354710.819462056,219999.846082523,78949.4878336501,21966.0515377274,0.0,0.0,1135134.95429305,2387.85435187786,11045690.8390667,10.0970584572681,370956.432976583,398295.99207212,769252.425048702,0.703187045272059,10246.72,7634.44,74.5062,599916.996,0.0,389457.936,2074287.816,0.0,474846.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213459.912,0.0,170988.264,0.0,0.0,170349.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7135,48.223,51.777,57.7433,8.4511,0.7032,10.0971,100.0,74.5062,4093307.208
AlphaTread Ltd,2021,18.0,18.0,1.0,996618.535449073,9175783.83526849,9.20691669770512,3649139.61786021,894532.038414344,2754607.57944587,44726.6019207172,555225.306813975,0.0,0.0,4877319.29942108,79030.5679570103,362414.271044619,207067.20207871,77432.8940831468,20417.3785200473,0.0,0.0,1210033.27210819,2294.8597279503,11040374.6696149,11.077833972494,395221.427359956,344325.947430733,739547.374790689,0.742056612922066,10555.3,5849.47,55.4174,540437.724,0.0,343012.5,1808081.532,0.0,433813.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178844.976,0.0,135356.796,0.0,0.0,136609.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5135,53.441,46.559,61.9183,9.2069,0.7421,11.0778,100.0,55.4174,3576156.84
AlphaTread Ltd,2022,18.0,18.0,1.0,1025797.63845358,9648024.07577658,9.40538729482869,4183648.83816099,1059028.17586805,3124620.66229293,52951.4087934025,512898.697529779,0.0,0.0,4789953.74861171,42317.4028084237,350063.826857526,170602.425186788,75863.6631772162,21646.8909522289,0.0,0.0,1286395.50737247,2425.8730015302,11435816.8736587,11.1482191467105,387493.048964912,390577.582786617,778070.631751529,0.758503044444996,14318.04,9100.1,63.5569,583599.672,0.0,404650.404,2099571.228,0.0,492302.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202591.944,0.0,154462.68,0.0,0.0,162796.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3135,49.8018,50.1982,58.9312,9.4054,0.7585,11.1482,100.0,63.5569,4099975.848
AlphaTread Ltd,2023,18.0,18.0,1.0,1025797.6385,9648024.0758,9.405387,4236600.247,1059028.1759,3124620.6623,52951.4088,512898.6975,0.0,0.0,4789953.7486,42317.4028,350063.8269,170602.4252,75863.6632,21646.891,0.0,0.0,1286395.5074,2425.873,11488768.2825,11.199839,387539.5981,450577.5828,838117.1809,0.817039,14318.04,9100.1,63.5569,576688.536,0.0,398237.508,1964976.228,3999.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151345.404,0.0,0.0,150333.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9971,46.2393,53.7607,58.6596,9.4054,0.817,11.1998,100.0,63.5569,3245581.116
BetaRubber Inc,2009,35.0,35.0,0.9852,2606372.92782371,20924975.3015305,8.02838883037453,8636268.77073059,985405.75057723,7650863.02015336,49270.2875288615,1554673.58172141,0.0,0.0,8337416.06701891,81695.6431050626,91704.9218463313,1476189.06668259,49555.7556970924,55608.4444151535,0.0,0.0,1216947.29697272,1869.19233071743,21501928.7405206,8.24975141161952,671464.62676835,956357.87751917,1627822.50428752,0.624554716215047,35617.46,27380.23,76.8731,866108.4,,1043958.58,2927362.33,,2088920.81,,,,,,,,602253.73,,508782.15,,,426157.4,,,,,,,,,,,,,11.4101,41.2493,58.7507,52.6045,8.0284,0.6246,8.2498,98.52,76.8731,8463543.4
BetaRubber Inc,2010,35.0,35.0,0.8867,2478885.12308149,18925877.4384712,7.63483441094054,9869101.672817,1205025.86641033,8664075.80640667,60251.2933205167,1590272.03110758,0.0,0.0,8408076.09477286,75939.1500089207,91823.3412958411,1376317.44209533,48788.5264847897,51895.8048224315,0.0,0.0,1337441.2457759,1808.36867824694,22851463.6778589,9.21844399527976,673600.395704262,1083009.47580083,1756609.8715051,0.708628994199401,33639.83,26585.61,79.0302,970921.74,,1169557.59,3313939.41,,2486589.28,,,,,,,,658778.29,,590109.0,,,495559.4,,,,,,,,,,,,,12.2101,38.3466,61.6534,49.8528,7.6348,0.7086,9.2184,88.67,79.0302,9685454.71
BetaRubber Inc,2011,35.0,35.0,0.9655,2858846.60621519,20534599.1272476,7.18282648764888,9459400.76823597,1230676.23707685,8228724.53115911,61533.8118538425,1657891.93212578,0.0,0.0,9372581.41278289,68992.6119975191,91780.8913946925,1213435.13575183,52811.494537526,53735.4300431125,0.0,0.0,1401149.56346938,2016.37671645803,23373795.6170552,8.17595304562338,718454.034194845,1028590.56639489,1747044.60058974,0.611101203118636,28605.02,20295.98,70.9525,901528.21,,1082611.19,3417596.55,,2331787.37,,,,,,,,637463.57,,568826.49,,,485739.92,,,,,,,,,,,,,13.0101,41.124,58.876,52.4369,7.1828,0.6111,8.176,96.55,70.9525,9425553.3
BetaRubber Inc,2012,36.0,36.0,0.9393,3033585.924044,24927827.173129,8.21728073549941,10415901.8837558,1438445.07614072,8977456.80761503,71922.2538070359,1822469.35126285,0.0,0.0,9254289.35134013,63243.6720939797,106608.184955162,1203077.46630451,54469.382114665,56221.9469882599,0.0,0.0,1362966.20005176,1888.06344511203,24341135.5023122,8.0238820036004,709549.471547339,1122182.10095188,1831731.57249922,0.603817270505191,28851.67,20720.7,71.818,998400.39,,1193872.56,3656996.2,,2614556.76,,,,,,,,739133.33,,639083.78,,,545577.24,,,,,,,,,,,,,13.8101,38.7365,61.2635,49.7214,8.2173,0.6038,8.0239,93.93,71.818,10387620.26
BetaRubber Inc,2013,36.0,36.0,0.9456,2762917.11499754,22079400.0534007,7.99133637905759,10064155.3436755,1470381.81689589,8593773.52677959,73519.0908447945,1868983.83959577,0.0,0.0,8818602.87477075,53702.1426245151,100055.503731604,1082657.35931861,50893.8499655558,54460.0199306089,0.0,0.0,1319313.65050274,1879.28793157145,23414703.8720472,8.47463130361333,671630.436979815,1074221.69084745,1745852.12782726,0.631887260877465,32088.8,20446.93,63.7198,1036123.53,,1180022.08,3500957.33,,2409976.82,,,,,,,,671052.27,,631786.31,,,520114.55,,,,,,,,,,,,,14.6101,38.4701,61.5299,49.0357,7.9913,0.6319,8.4746,94.56,63.7198,9950032.89
BetaRubber Inc,2014,36.0,36.0,0.956,3036186.41913554,21650668.4525818,7.1308758632634,10106273.2036523,1557385.45836533,8548887.74528693,77869.2729182664,1886240.18929854,0.0,0.0,9230372.08155606,49557.2225651111,104608.365180306,1121707.49822659,54317.6203992959,55805.2170901731,0.0,0.0,1513906.99127384,2047.17320842953,24124835.5624506,7.94576887980395,708922.369304681,1068610.96816087,1777533.33746555,0.585449340746225,39081.24,25809.93,66.0417,977609.55,,1171087.09,3448851.65,,2539005.75,,,,,,,,722620.48,,616090.38,,,494193.42,,,,,,,,,,,,,15.4101,39.8824,60.1176,50.2898,7.1309,0.5854,7.9458,95.6,66.0417,9969458.32
BetaRubber Inc,2015,37.0,37.0,1.0,2952630.28853323,20843601.8842618,7.05933349163611,10237171.0427461,1659454.29714237,8577716.74560374,82972.7148571183,1992768.73338137,0.0,0.0,10105264.057042,49762.6121930355,106913.546380809,1022177.26217726,55192.0334829454,55006.3417192472,0.0,0.0,1398528.55284025,1875.56790058866,25024659.7498636,8.47537866391495,743989.500936162,1072214.59320047,1816204.09413663,0.615113954899806,43356.59,32484.15,74.9232,1029281.42,,1242184.98,3554202.49,,2494729.74,,,,,,,,706280.95,,630067.95,,,487002.37,,,,,,,,,,,,,16.2101,40.964,59.036,51.1284,7.0593,0.6151,8.4754,100.0,74.9232,10143749.9
BetaRubber Inc,2016,37.0,37.0,1.0,3044107.80220693,21575722.2291522,7.08769978957715,10432926.3502283,1774649.81292058,8658276.53730768,88732.4906460292,2012817.75002823,0.0,0.0,9622696.15219582,38610.5763875173,110094.244122936,858610.663653715,57073.6774018133,50016.8671567137,0.0,0.0,1470450.75716599,1983.95617531993,24655280.9945163,8.0993455542677,707234.933381407,1082284.56716346,1789519.50054487,0.587863379623906,26826.23,15087.63,56.2421,972399.72,,1266525.51,3639881.18,,2541442.08,,,,,,,,684753.97,,611012.73,,,508252.64,,,,,,,,,,,,,17.0101,39.5209,60.4791,49.521,7.0877,0.5879,8.0993,100.0,56.2421,10224267.83
BetaRubber Inc,2017,37.0,37.0,1.0,2903454.64687193,22764257.9399184,7.84040417660517,10304013.3561261,1835153.70776209,8468859.64836397,91757.6853881043,1986118.63763928,0.0,0.0,9262103.27108106,34516.578014618,107811.998740113,819427.071246038,59559.2159770548,53065.859783469,0.0,0.0,1589237.65736013,2068.01373214191,24217921.6597,8.3410711049995,690505.385606119,1058607.4560455,1749112.84165162,0.602424716203521,26747.82,17844.54,66.714,1019943.25,,1250806.25,3655124.91,,2458873.5,,,,,,,,712236.98,,626021.97,,,515362.25,,,,,,,,,,,,,17.8101,39.4775,60.5225,49.2519,7.8404,0.6024,8.3411,100.0,66.714,10238369.11
