Year,n_companies,Total_Production,Total_Energy,Total_CO2,Total_Water,Avg_Energy_KPI,Avg_CO2_KPI,Avg_Water_KPI,Avg_Renewable_Share,Avg_ISO_Cert,Total_Waste,Total_Waste_Recovered,Avg_Waste_Recovery_Rate,Total_Elec_by_Country,Total_Elec_Canada_GJ,Total_Elec_Chile_GJ,Total_Elec_Mexico_GJ,Total_Elec_United_States_GJ,Total_Elec_Australia_GJ,Total_Elec_Japan_GJ,Total_Elec_France_GJ,Total_Elec_Hungary_GJ,Total_Elec_Italy_GJ
2009,10,26400960.525991127,353457165.17567694,27143265.593545295,202014838.0271763,14.4356333801852,1.1116758387614225,7.990623195062381,9.960550000000001,93.512,337621.6,223096.06,67.24343999999999,112613919.8,11245876.928,0.0,10037753.502,47380224.366,0.0,21628034.096,9443822.456,7807531.602,5070676.848
2010,10,27114339.042768434,368771575.7888561,28283848.213473998,204005040.9378265,14.621206194177853,1.125126777907775,7.8426017292418235,10.76055,91.61800000000001,317850.61,227395.22,69.14827,121827453.77000001,12268650.422,0.0,10568561.141999999,51499578.284,0.0,23715316.544,10209273.49,8291848.124,5274225.77
2011,10,28088627.416129716,366640012.8539103,28078822.960198116,210319969.4738777,14.047190293954733,1.0783653801832656,7.770053735566362,11.56055,93.957,317689.47,207019.41,66.88843,123595929.78999999,12283422.709999999,0.0,10981578.374,52043834.94,0.0,23805801.052,10251801.904000001,8588142.324000001,5641348.488
2012,10,28529296.86362897,375463112.6482422,28576819.549874254,220790266.4170074,14.030130997265974,1.071047197912795,8.025712752764615,12.36055,91.892,335600.9,229578.32,69.11319,126314086.74,12536150.996,0.0,11037777.068,53312688.668,0.0,23934376.118,10931315.156,8866454.026,5695324.696
2013,10,29406870.663093936,388000059.63152194,29180851.139892876,229345440.9489519,14.368601402418864,1.0833947309308694,8.13451768940728,13.16055,90.987,319914.42,217816.49,67.96918000000001,127932531.63,12663544.95,0.0,11318652.876,53810628.036,0.0,25024338.792,10678079.628,8755550.614,5681736.736
2014,10,29664904.760708302,391451866.8855202,29220017.22364821,221772180.8532933,14.105311576031752,1.0531522131738802,7.791587935790984,13.960550000000001,92.317,358317.70999999996,228923.91,63.81663999999999,128348306.47,12892853.908,0.0,11455431.116,53585751.198,0.0,24795370.906,10924703.746,8910236.894,5783958.694
2015,10,30082429.215976197,405179432.8918867,30162029.544186976,224926750.25480768,14.243445229494956,1.0630478983882488,7.822978734219655,14.76055,100.0,339639.58999999997,221461.29,65.86618,133557334.87,13510500.276,0.0,11744429.032,56244007.268,0.0,25821652.426,11050579.764,9168009.438000001,6018156.672
2016,10,30589610.254871927,401733785.1814331,29829109.314336956,229129594.7004924,13.967191715814158,1.038430186752455,7.824885552781389,15.560550000000001,100.0,318094.39,204880.47,65.39054,136188862.84,13521333.98,0.0,12179826.138,57965095.886,399.6,25587108.198,11472812.266,9511956.564,5950330.212
2017,10,31656309.260093585,405787661.0237987,29917427.23270287,245741957.9934229,13.636857108531155,1.0041413588577532,8.078229823208364,16.36055,100.0,347316.76,245717.59,68.35109,137366250.88,13772761.898,0.0,12178568.364,57609368.116000004,0.0,26433130.716,11739807.92,9507492.764,6125121.106000001
2018,10,32252408.95714827,418010535.4296636,30612863.337784097,240564642.71161765,13.719099062293546,1.0077498554422095,7.704218024893874,17.16055,100.0,368790.27,258293.01,68.59567,140440355.49,14327846.974,0.0,12550860.416000001,58581360.614,0.0,27411615.858,11748851.258,9656582.318,6163238.056
2019,10,32399484.465959657,427295218.5714701,31056108.74620507,240813771.7824425,13.909153650601283,1.0117169821758043,7.691840149832283,17.96055,100.0,375882.77999999997,271365.6,72.90786,143400790.07999998,14414410.984,0.0,12407857.743999999,60782025.854,0.0,27494050.847999997,12240063.444,9737397.978,6324983.223999999
2020,10,33970300.89478688,439515766.4944238,31959298.778244734,258415126.11461505,13.746206662036638,1.0000278727532446,7.841858825116788,18.66372,99.688,669043.85,519700.39,68.47509,147144121.88,14991226.482,0.0,13126954.55,64728145.800000004,0.0,25397331.864,12661597.806,9462972.266,6775893.118
2021,10,34146191.603182256,445964927.8208418,32167915.581328265,260906683.4607741,13.904925359507178,1.0068191520825693,7.996515223178645,19.463330000000003,100.0,719246.49,544034.51,67.32252,150626027.74,14716940.128,3.6,13095543.724,63907875.958,0.0,29346713.336000003,12466274.852,10394219.914,6698456.226
2022,10,35336655.2446901,452296319.8356645,32130758.199525498,276354756.7233498,13.79052281188368,0.9818850000920296,8.17854354966314,20.36055,100.0,430281.30000000005,314968.8,73.51341,148327530.55,15086653.68,0.0,13119895.318,62642878.258,0.0,28435223.216,12255430.834,10185943.28,6601505.961999999
2023,10,35559055.15334731,455775265.5970509,32391905.44694066,272500332.4650442,13.713572956576254,0.9790762564361041,7.967409367369624,21.04891,100.0,398557.65,280956.3,70.14922,154117584.62,15399677.546,0.0,13946530.458,64665396.698,3999.6,29666558.042,12727970.084,10816272.728,6891179.46
