Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
BetaRubber Inc,2009,35.0,35.0,0.9852,2606372.92782371,20924975.3015305,8.02838883037453,8636268.77073059,985405.75057723,7650863.02015336,49270.2875288615,1554673.58172141,0.0,0.0,8337416.06701891,81695.6431050626,91704.9218463313,1476189.06668259,49555.7556970924,55608.4444151535,0.0,0.0,1216947.29697272,1869.19233071743,21501928.7405206,8.24975141161952,671464.62676835,956357.87751917,1627822.50428752,0.624554716215047,35617.46,27380.23,76.8731,866108.4,1043958.58,2927362.33,2088920.81,602253.73,508782.15,426157.4,11.4101,41.2493,58.7507,52.6045,8.0284,0.6246,8.2498,98.52,76.8731,8463543.4
BetaRubber Inc,2010,35.0,35.0,0.8867,2478885.12308149,18925877.4384712,7.63483441094054,9869101.672817,1205025.86641033,8664075.80640667,60251.2933205167,1590272.03110758,0.0,0.0,8408076.09477286,75939.1500089207,91823.3412958411,1376317.44209533,48788.5264847897,51895.8048224315,0.0,0.0,1337441.2457759,1808.36867824694,22851463.6778589,9.21844399527976,673600.395704262,1083009.47580083,1756609.8715051,0.708628994199401,33639.83,26585.61,79.0302,970921.74,1169557.59,3313939.41,2486589.28,658778.29,590109.0,495559.4,12.2101,38.3466,61.6534,49.8528,7.6348,0.7086,9.2184,88.67,79.0302,9685454.71
BetaRubber Inc,2011,35.0,35.0,0.9655,2858846.60621519,20534599.1272476,7.18282648764888,9459400.76823597,1230676.23707685,8228724.53115911,61533.8118538425,1657891.93212578,0.0,0.0,9372581.41278289,68992.6119975191,91780.8913946925,1213435.13575183,52811.494537526,53735.4300431125,0.0,0.0,1401149.56346938,2016.37671645803,23373795.6170552,8.17595304562338,718454.034194845,1028590.56639489,1747044.60058974,0.611101203118636,28605.02,20295.98,70.9525,901528.21,1082611.19,3417596.55,2331787.37,637463.57,568826.49,485739.92,13.0101,41.124,58.876,52.4369,7.1828,0.6111,8.176,96.55,70.9525,9425553.3
BetaRubber Inc,2012,36.0,36.0,0.9393,3033585.924044,24927827.173129,8.21728073549941,10415901.8837558,1438445.07614072,8977456.80761503,71922.2538070359,1822469.35126285,0.0,0.0,9254289.35134013,63243.6720939797,106608.184955162,1203077.46630451,54469.382114665,56221.9469882599,0.0,0.0,1362966.20005176,1888.06344511203,24341135.5023122,8.0238820036004,709549.471547339,1122182.10095188,1831731.57249922,0.603817270505191,28851.67,20720.7,71.818,998400.39,1193872.56,3656996.2,2614556.76,739133.33,639083.78,545577.24,13.8101,38.7365,61.2635,49.7214,8.2173,0.6038,8.0239,93.93,71.818,10387620.26
BetaRubber Inc,2013,36.0,36.0,0.9456,2762917.11499754,22079400.0534007,7.99133637905759,10064155.3436755,1470381.81689589,8593773.52677959,73519.0908447945,1868983.83959577,0.0,0.0,8818602.87477075,53702.1426245151,100055.503731604,1082657.35931861,50893.8499655558,54460.0199306089,0.0,0.0,1319313.65050274,1879.28793157145,23414703.8720472,8.47463130361333,671630.436979815,1074221.69084745,1745852.12782726,0.631887260877465,32088.8,20446.93,63.7198,1036123.53,1180022.08,3500957.33,2409976.82,671052.27,631786.31,520114.55,14.6101,38.4701,61.5299,49.0357,7.9913,0.6319,8.4746,94.56,63.7198,9950032.89
BetaRubber Inc,2014,36.0,36.0,0.956,3036186.41913554,21650668.4525818,7.1308758632634,10106273.2036523,1557385.45836533,8548887.74528693,77869.2729182664,1886240.18929854,0.0,0.0,9230372.08155606,49557.2225651111,104608.365180306,1121707.49822659,54317.6203992959,55805.2170901731,0.0,0.0,1513906.99127384,2047.17320842953,24124835.5624506,7.94576887980395,708922.369304681,1068610.96816087,1777533.33746555,0.585449340746225,39081.24,25809.93,66.0417,977609.55,1171087.09,3448851.65,2539005.75,722620.48,616090.38,494193.42,15.4101,39.8824,60.1176,50.2898,7.1309,0.5854,7.9458,95.6,66.0417,9969458.32
BetaRubber Inc,2015,37.0,37.0,1.0,2952630.28853323,20843601.8842618,7.05933349163611,10237171.0427461,1659454.29714237,8577716.74560374,82972.7148571183,1992768.73338137,0.0,0.0,10105264.057042,49762.6121930355,106913.546380809,1022177.26217726,55192.0334829454,55006.3417192472,0.0,0.0,1398528.55284025,1875.56790058866,25024659.7498636,8.47537866391495,743989.500936162,1072214.59320047,1816204.09413663,0.615113954899806,43356.59,32484.15,74.9232,1029281.42,1242184.98,3554202.49,2494729.74,706280.95,630067.95,487002.37,16.2101,40.964,59.036,51.1284,7.0593,0.6151,8.4754,100.0,74.9232,10143749.9
BetaRubber Inc,2016,37.0,37.0,1.0,3044107.80220693,21575722.2291522,7.08769978957715,10432926.3502283,1774649.81292058,8658276.53730768,88732.4906460292,2012817.75002823,0.0,0.0,9622696.15219582,38610.5763875173,110094.244122936,858610.663653715,57073.6774018133,50016.8671567137,0.0,0.0,1470450.75716599,1983.95617531993,24655280.9945163,8.0993455542677,707234.933381407,1082284.56716346,1789519.50054487,0.587863379623906,26826.23,15087.63,56.2421,972399.72,1266525.51,3639881.18,2541442.08,684753.97,611012.73,508252.64,17.0101,39.5209,60.4791,49.521,7.0877,0.5879,8.0993,100.0,56.2421,10224267.83
BetaRubber Inc,2017,37.0,37.0,1.0,2903454.64687193,22764257.9399184,7.84040417660517,10304013.3561261,1835153.70776209,8468859.64836397,91757.6853881043,1986118.63763928,0.0,0.0,9262103.27108106,34516.578014618,107811.998740113,819427.071246038,59559.2159770548,53065.859783469,0.0,0.0,1589237.65736013,2068.01373214191,24217921.6597,8.3410711049995,690505.385606119,1058607.4560455,1749112.84165162,0.602424716203521,26747.82,17844.54,66.714,1019943.25,1250806.25,3655124.91,2458873.5,712236.98,626021.97,515362.25,17.8101,39.4775,60.5225,49.2519,7.8404,0.6024,8.3411,100.0,66.714,10238369.11
BetaRubber Inc,2018,38.0,38.0,1.0,3079466.53196724,22026057.8477774,7.15255633374481,10310804.7671031,1918849.70207908,8391955.06502403,95942.4851039541,2052864.08604715,0.0,0.0,11003047.763638,28887.2906625499,118152.922197571,807306.986145939,59777.7857038118,56313.5290523362,0.0,0.0,1671651.3485468,1869.26483131075,26110675.7439286,8.47896071377288,792202.384550224,1048994.383128,1841196.76767823,0.597894716037725,43098.45,31369.09,72.7847,996326.3,1184163.19,3660177.68,2455649.96,727947.24,645883.05,519431.24,18.6101,43.0265,56.9735,52.649,7.1526,0.5979,8.479,100.0,72.7847,10189578.66
