Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Chile_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
DeltaGrip GmbH,2009,13.0,13.0,0.864,1452696.53163081,12590168.5665067,8.66675750397287,14755531.2517978,1452179.26669964,13303351.9850982,72608.9633349821,950320.100363432,0.0,0.0,19803087.537639,878520.674000613,398093.036388693,1723950.95583735,235949.402647952,18762.9242848224,0.0,0.0,841779.213729422,1229.3356946024,39607224.4323837,27.2646238013112,1419062.47398535,1662918.99813727,3081981.47212263,2.12155904899337,21323.2,15217.67,71.3667,1291961.628,,1050621.912,5971934.304,3200173.416,1418531.508,1050608.772,739274.832,9.8416,46.0438,53.9562,60.346,8.6668,2.1216,27.2646,86.4,71.3667,14723106.37
DeltaGrip GmbH,2010,13.0,13.0,0.9327,1416120.73558858,11165188.9023937,7.88434815040903,15144708.8307046,1611638.20901816,13533070.6216864,80581.9104509078,981416.172019257,0.0,0.0,22933776.3407071,820981.874688961,393539.457244832,1656343.65883597,238218.618412554,20821.3846212385,0.0,0.0,819977.326704295,1200.16603280786,43010983.8299716,30.3723988704218,1582793.41129966,1691633.8277108,3274427.23901046,2.31225146043039,18984.84,13107.97,69.0444,1371323.34,,1035647.532,5923302.948,3360048.012,1457650.584,992592.18,701250.048,10.6416,48.338,51.662,62.507,7.8843,2.3123,30.3724,93.27,69.0444,14841814.64
DeltaGrip GmbH,2011,13.0,13.0,0.8948,1460125.57782567,11893809.5802439,8.14574428451242,15693219.5242838,1795554.23840217,13897665.2858816,89777.7119201085,1002365.07309734,0.0,0.0,20903558.4311551,721831.354246073,407745.615648475,1512042.16593739,249114.794711541,19329.6028761025,0.0,0.0,815015.30001296,1084.74472168026,41325306.6066904,28.3025701585404,1449623.7178758,1737208.1607352,3186831.87861101,2.18257383269502,19399.17,13918.59,71.7484,1441213.776,,1066993.74,6049027.728,3284904.456,1545874.344,1108403.064,776205.792,11.4416,45.4879,54.5121,59.5996,8.1457,2.1826,28.3026,89.48,71.7484,15272622.9
DeltaGrip GmbH,2012,14.0,14.0,0.9358,1597639.85046636,12288250.2135955,7.69150206788378,15535127.6364733,1901747.02981133,13633380.606662,95087.3514905664,952878.627461646,0.0,0.0,23564065.344906,680649.188163823,449389.610206721,1390460.11524196,259919.678462247,20467.8303326535,0.0,0.0,924989.803809017,1140.76171857168,43779088.5967759,27.4023514022867,1595236.25362592,1704172.57583275,3299408.82945866,2.06517684726977,17673.61,14035.02,79.4123,1331028.324,,1052666.136,6177217.464,3269577.78,1520041.824,1089287.1,784606.428,12.2416,48.3492,51.6508,62.3382,7.6915,2.0652,27.4024,93.58,79.4123,15224425.06
DeltaGrip GmbH,2013,14.0,14.0,0.9253,1467326.68207818,11958584.1927053,8.14991258508861,16125775.941819,2103057.99638224,14022717.9454368,105152.899819112,1114814.37261949,0.0,0.0,22981963.5778368,603110.247820152,434997.596758937,1380406.39397749,255443.408871316,19950.8467606495,0.0,0.0,830283.159010152,1136.04218203241,43747881.5876561,29.814684161332,1547846.95044014,1752839.7431796,3300686.69361974,2.24945592139371,13249.25,10601.77,80.0179,1411913.736,,1072452.096,6254459.964,3619874.268,1568871.828,1080200.988,795487.572,13.0416,46.8947,53.1053,60.591,8.1499,2.2495,29.8147,92.53,80.0179,15803260.45
DeltaGrip GmbH,2014,14.0,14.0,0.9008,1742406.57392104,14430090.4548448,8.28170110858335,15944504.2027661,2206973.30836041,13737530.8944057,110348.665418021,1136291.27336276,0.0,0.0,25068757.5580446,573398.107285084,439370.730656583,1212996.88969179,274342.766522948,20276.738796008,0.0,0.0,952417.666618925,1056.8430535707,45623412.7767984,26.184137192578,1657680.96667575,1717191.36180071,3374872.32847646,1.93690288993905,16868.27,9623.06,57.0483,1381749.408,,1074600.936,6155792.136,3381099.048,1616912.208,1080609.444,784921.428,13.8416,49.1183,50.8817,62.5613,8.2817,1.9369,26.1841,90.08,57.0483,15475684.61
DeltaGrip GmbH,2015,15.0,15.0,1.0,1542347.16356845,12651242.3669829,8.20259061371914,16989233.0070071,2487494.27691554,14501738.7300916,124374.713845777,1187170.33097132,0.0,0.0,25216070.1525091,478718.413199473,428504.681362489,1191303.58420344,287109.666355875,19293.2631687279,0.0,0.0,947357.887507366,1215.30377234464,46745976.2900573,30.3083361478121,1655191.33486599,1812717.34126145,3467908.67612744,2.24846179773424,22020.89,14929.49,67.7969,1554651.072,,1150277.076,6586582.248,3566024.892,1642677.912,1162915.236,822024.936,14.6416,47.7288,52.2712,61.1166,8.2026,2.2485,30.3083,100.0,67.7969,16485153.37
DeltaGrip GmbH,2016,15.0,15.0,1.0,1569801.50925453,13209354.4750612,8.41466541928221,15725573.713071,2428279.02138396,13297294.691687,121413.951069198,1101056.89454552,0.0,0.0,23380078.571185,427558.092256883,472816.366272585,1133723.28342926,262229.281526474,18157.1935730015,0.0,0.0,994515.503949215,1163.48108393989,43516872.3808929,27.7212578305891,1546390.77879431,1662161.83646088,3208552.61525519,2.04392249360167,13533.13,7884.02,58.2572,1409750.64,,1068463.656,6204852.108,3460808.448,1602498.06,1050078.096,809820.684,15.4416,48.1959,51.8041,61.3331,8.4147,2.0439,27.7213,100.0,58.2572,15606271.69
DeltaGrip GmbH,2017,15.0,15.0,1.0,1657094.98311371,14192451.0236228,8.56465752913869,15660873.0890014,2543575.1993397,13117297.8896617,127178.759966985,1140329.41296607,0.0,0.0,24316586.2343879,352674.433281734,440327.443738908,1048451.44090987,300887.869879312,20021.9606699967,0.0,0.0,906317.91673896,1130.971435636,44187600.7730098,26.6657018597573,1581208.42714504,1639662.23620771,3220870.66335275,1.94368500066344,20540.19,11750.53,57.2075,1462133.664,,1142399.736,5989393.152,3368517.696,1614041.1,1123476.876,758340.288,16.2416,49.0926,50.9074,61.9776,8.5647,1.9437,26.6657,100.0,57.2075,15458302.51
DeltaGrip GmbH,2018,16.0,16.0,1.0,1721191.82830258,14021791.1760709,8.14655923035552,17332228.9667677,2953687.84306275,14378541.1237049,147684.392153138,1157181.58435743,0.0,0.0,24807143.7495636,325702.58010779,464315.689009043,899506.335312022,287852.843280972,18650.1017592535,0.0,0.0,990024.39093594,1155.28000717086,46283761.5211008,26.8905305963168,1599788.40049344,1797317.64046311,3397106.04095655,1.97369403287648,16291.85,10590.15,65.0027,1557486.36,,1227603.348,6842010.816,3798804.528,1776115.116,1157043.852,845157.348,17.0416,47.0927,52.9073,60.0521,8.1466,1.9737,26.8905,100.0,65.0027,17204221.37
DeltaGrip GmbH,2019,16.0,16.0,1.0,1942775.03186401,15096863.5499125,7.77077289048116,18624388.3908921,3322887.49454787,15301500.8963442,166144.374727394,1225533.42344153,0.0,0.0,25416276.2310887,252896.696581828,512542.612019953,865716.512374508,273268.294911052,19800.1595102854,0.0,0.0,998212.914294704,1215.43733743283,48189850.672452,24.8046479299335,1626934.64575906,1912687.61204303,3539622.25780209,1.8219413981278,25243.34,19985.3,79.1706,1678152.312,,1307893.86,7157108.124,4075818.372,1868513.616,1270132.884,909730.908,17.8416,45.9635,54.0365,58.8089,7.7708,1.8219,24.8046,100.0,79.1706,18267350.08
DeltaGrip GmbH,2020,16.0,16.0,1.0,1773995.69092631,14933775.1511364,8.41815751161076,17949668.9932321,3346104.16060179,14603564.8326303,167305.20803009,1190370.89444291,0.0,0.0,27482955.3097997,195574.704727212,522140.761620547,776296.792765234,308060.183069762,20522.6216991441,0.0,0.0,1039614.23676034,1215.3000537891,49486419.7981707,27.8954565962507,1736065.05965248,1825445.60407878,3561510.66373126,2.00762080874705,18877.07,10484.69,55.5419,1586727.612,,1220220.936,7056012.996,3798774.0,1865065.248,1268236.512,913557.6,18.6416,48.7452,51.2548,61.3226,8.4182,2.0076,27.8955,100.0,55.5419,17708594.9
