Company,Row,Year,Data,Section,Row_Label,Notes,Consistency test
AlphaTread Ltd,1,2009,14.0,ISO 14001,Total no. of sites,,
AlphaTread Ltd,2,2009,14.0,ISO 14001,ISO 14001 sites,,
AlphaTread Ltd,3,2009,0.9578,ISO 14001,% certified sites,,
AlphaTread Ltd,4,2009,805064.499064518,Production,Production,,
AlphaTread Ltd,5,2009,6776399.49598379,Water,Water intake,,
AlphaTread Ltd,6,2009,8.4172131597629,Water,Water intake - KPI,,
AlphaTread Ltd,7,2009,2951009.07198144,Energy,Total Electricity,,
AlphaTread Ltd,8,2009,440098.898223628,Energy,Renewable Electricity Purchased,,
AlphaTread Ltd,9,2009,2510910.17375781,Energy,Non-Renewable Electricity Purchased,,
AlphaTread Ltd,10,2009,22004.9449111814,Energy,Self-generated AND consumed electricity on-site,,
AlphaTread Ltd,11,2009,429856.071295029,Energy,Purchased Steam,,
AlphaTread Ltd,12,2009,0.0,Energy,Sold Electricity,,
AlphaTread Ltd,13,2009,0.0,Energy,Sold Steam,,
AlphaTread Ltd,14,2009,3776083.18282769,Energy,Natural Gas,,
AlphaTread Ltd,15,2009,480409.1710231,Energy,Coal,,
AlphaTread Ltd,16,2009,279038.957447798,Energy,Propane,,
AlphaTread Ltd,17,2009,468207.070475802,Energy,Fuel Oil,,
AlphaTread Ltd,18,2009,61706.5419391179,Energy,Diesel,,
AlphaTread Ltd,19,2009,21935.9772467058,Energy,Petrol,,
AlphaTread Ltd,20,2009,0.0,Energy,Biomass,,
AlphaTread Ltd,21,2009,0.0,Energy,Waste tires,,
AlphaTread Ltd,22,2009,958146.206354386,Energy,LPG,,
AlphaTread Ltd,23,2009,2229.65188358302,Energy,Other,,
AlphaTread Ltd,24,2009,9428621.90247465,Energy,Total energy,,
AlphaTread Ltd,25,2009,11.7116354198088,Energy,Total energy - KPI,,
AlphaTread Ltd,26,2009,371328.655401407,CO2 emissions,Total CO2 - Scope 1,,
AlphaTread Ltd,27,2009,313863.771719726,CO2 emissions,Total CO2 - Scope 2,,
AlphaTread Ltd,28,2009,685192.427121133,CO2 emissions,Total CO2,,
AlphaTread Ltd,29,2009,0.851102523980779,CO2 emissions,Total CO2 - KPI,,
AlphaTread Ltd,30,2009,8261.91,Waste,Total Waste,,
AlphaTread Ltd,31,2009,5701.32,Waste,Waste Recovered,,
AlphaTread Ltd,32,2009,69.0073,Waste,Recovery Rate,,
AlphaTread Ltd,33,2009,430227.0,Energy,Electricity - Canada,,
AlphaTread Ltd,35,2009,277277.4,Energy,Electricity - Mexico,,
AlphaTread Ltd,36,2009,1471866.12,Energy,Electricity - United States,,
AlphaTread Ltd,38,2009,352932.984,Energy,Electricity - Japan,,
AlphaTread Ltd,46,2009,137066.616,Energy,Electricity - France,,
AlphaTread Ltd,48,2009,112413.42,Energy,Electricity - Hungary,,
AlphaTread Ltd,51,2009,110205.36,Energy,Electricity - Italy,,
AlphaTread Ltd,1,2010,14.0,ISO 14001,Total no. of sites,,
AlphaTread Ltd,2,2010,14.0,ISO 14001,ISO 14001 sites,,
AlphaTread Ltd,3,2010,0.862,ISO 14001,% certified sites,,
AlphaTread Ltd,4,2010,878191.969398113,Production,Production,,
AlphaTread Ltd,5,2010,7430771.62109679,Water,Water intake,,
AlphaTread Ltd,6,2010,8.46144337460707,Water,Water intake - KPI,,
AlphaTread Ltd,7,2010,3174018.51041717,Energy,Total Electricity,,
AlphaTread Ltd,8,2010,498749.571020052,Energy,Renewable Electricity Purchased,,
AlphaTread Ltd,9,2010,2675268.93939712,Energy,Non-Renewable Electricity Purchased,,
