Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_United_States_GJ,Elec_Hungary_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
EpsilonWheel Co,2009,19.0,19.0,0.9377,3922884.468241,24703414.1958075,6.29725764187095,15221251.8377115,1587933.14195562,13633318.6957559,79396.6570977807,2551176.60516159,0.0,0.0,15392691.906015,125940.853757886,352765.87926985,427071.977876597,289887.56022393,26788.9995859001,0.0,0.0,1391137.51113347,5002.04222420984,35783715.17296,9.12178665027196,1032548.90219842,1704164.83696949,2736713.73916791,0.697627921832488,58359.38,33863.06,58.0251,,706672.1,10.4323,37.7295,62.2705,50.3338,6.2973,0.6976,9.1218,93.77,58.0251,706672.1
EpsilonWheel Co,2010,19.0,19.0,0.8953,4169368.98680293,24601252.1838566,5.90047373157078,13734979.7499311,1542759.98357122,12192219.7663598,77137.9991785612,2988971.47819191,0.0,0.0,15963508.6927835,126608.528165258,318688.910122735,426665.230819647,262380.82004737,27831.0484795357,0.0,0.0,1574872.16362383,4940.62605875565,35429447.2482236,8.49755619144441,1070790.4767531,1524027.47079498,2594817.94754808,0.622352676330954,60479.33,42355.25,70.0326,,665065.62,11.2323,41.2665,58.7335,52.7965,5.9005,0.6224,8.4976,89.53,70.0326,665065.62
EpsilonWheel Co,2011,19.0,19.0,0.9129,4294525.9755239,26713947.7896204,6.22046482938352,14105205.4393953,1697186.64497463,12408018.7944207,84859.3322487314,2818900.47990098,0.0,0.0,15798230.4484216,117017.383791772,343821.386570631,408122.735763912,264079.041488548,27458.1798500006,0.0,0.0,1556219.18885468,5098.44803295759,35444152.7320704,8.25333294852094,1059822.79260363,1551002.34930259,2610825.14190622,0.607942566137981,41643.45,24195.09,58.1006,,707558.68,12.0323,40.5934,59.4066,52.2513,6.2205,0.6079,8.2533,91.29,58.1006,707558.68
EpsilonWheel Co,2012,20.0,20.0,0.8649,4337335.90223497,26745076.7515307,6.16624521466029,15394750.4058323,1975507.11675354,13419243.2890788,98775.355837677,3149559.23178537,0.0,0.0,16892398.5578789,105921.373856835,339528.819364818,337747.115134297,308486.178502033,27835.8649615792,0.0,0.0,1649709.84387308,4863.44373595151,38210800.8349252,8.80973982560025,1122978.23994145,1677405.41113485,2800383.6510763,0.645646017324437,44918.45,26335.33,58.6292,,783708.47,12.8323,40.1009,59.8991,51.4684,6.1662,0.6456,8.8097,86.49,58.6292,783708.47
EpsilonWheel Co,2013,20.0,20.0,0.8532,4264649.47854848,26710038.3315649,6.26312630520244,14999731.7565104,2044814.82433269,12954916.9321777,102240.741216634,2814714.46330368,0.0,0.0,17867876.1461983,91361.7790134662,381077.517046141,322480.844805701,285420.487382806,29697.557042601,0.0,0.0,1600099.11266373,4487.44510652988,38396947.1090733,9.00354115905959,1173369.13586329,1619364.61652221,2792733.7523855,0.654856575301948,51898.53,35152.2,67.7326,,692651.1,13.6323,42.0151,57.9849,53.6045,6.2631,0.6549,9.0035,85.32,67.7326,692651.1
EpsilonWheel Co,2014,20.0,20.0,0.8504,4570050.69405455,28936371.7087117,6.33173976524083,15087547.4744031,2177486.54366061,12910060.9307425,108874.327183031,2880678.32890098,0.0,0.0,17365489.9232484,83980.3422483723,383511.097209388,293120.896373306,282068.158063976,29339.9552551059,0.0,0.0,1612066.21719057,4621.52872081506,38022423.9216141,8.31991294343401,1142772.93693218,1613757.61634282,2756530.55327499,0.603172861268502,66578.25,39875.91,59.8933,,760446.24,14.4323,41.4569,58.5431,52.7431,6.3317,0.6032,8.3199,85.04,59.8933,760446.24
EpsilonWheel Co,2015,21.0,21.0,1.0,4161434.94471446,23135401.0617115,5.55947680765654,16984892.2219059,2587196.97597737,14397695.2459285,129359.848798868,3143056.52676528,0.0,0.0,19215752.4618474,78752.9911116828,399185.585552,296668.759014584,293047.548323707,28056.2351062387,0.0,0.0,1842590.83322693,4408.16765594049,42286411.3305095,10.1614976305754,1260981.43308345,1799711.90574106,3060693.33882451,0.735489892185379,38058.78,22620.3,59.4352,,815589.85,15.2323,41.1992,58.8008,52.4009,5.5595,0.7355,10.1615,100.0,59.4352,815589.85
EpsilonWheel Co,2016,21.0,21.0,1.0,4688973.57435462,29727884.066266,6.33995555634107,16765295.7970526,2687869.66255053,14077426.1345021,134393.483127526,3176567.20338308,0.0,0.0,20293493.4152761,64628.0115151305,389180.137599401,270568.681878869,328907.087079445,27995.3575367972,0.0,0.0,1872604.70331421,4431.09026522717,43193671.4849009,9.21175408646784,1321787.73702676,1759678.26681276,3081466.00383952,0.65717282364161,51925.43,33843.7,65.1775,,847958.24,16.0323,42.8948,57.1052,53.8315,6.34,0.6572,9.2118,100.0,65.1775,847958.24
EpsilonWheel Co,2017,21.0,21.0,1.0,4273865.5184733,26036824.9684531,6.09210206917179,15877686.4113038,2672586.57603751,13205099.8352663,133629.328801876,3148509.06975802,0.0,0.0,19703674.68189,60435.581017753,387647.079364788,273831.937121141,327787.318004539,27831.3699667326,0.0,0.0,1825069.84611802,4450.63605424007,41636923.930599,9.74221667729791,1285696.82579416,1650637.47940829,2936334.30520245,0.687044150666528,50452.43,40096.94,79.4747,,737648.91,16.8323,43.7858,56.2142,54.3045,6.0921,0.687,9.7422,100.0,79.4747,737648.91
EpsilonWheel Co,2018,22.0,22.0,1.0,4827560.9997003,30540895.4937326,6.32636138531003,17839536.5258119,3145528.2011048,14694008.3247071,157276.41005524,3477603.66545812,0.0,0.0,20390724.7536003,48131.1947561573,403954.465612135,222499.643342454,324406.790303864,27830.3986294898,0.0,0.0,1807558.6732581,4447.5219805382,44546693.6327531,9.22757757706606,1318894.12954036,1836751.04058839,3155645.17012875,0.653672769815785,59574.56,41346.8,69.4035,,913736.27,17.6323,41.7948,58.2052,52.1465,6.3264,0.6537,9.2276,100.0,69.4035,913736.27
