Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
EtaRoad AG,2009,53.0,53.0,0.9116,3447658.77609008,31892931.410067,9.25060555042402,23241507.7621899,1959321.25800436,21282186.5041855,97966.0629002181,974659.749552626,0.0,0.0,15944736.3169286,1181531.90202185,537945.357882378,3109395.75294555,211879.055688724,41158.0884655768,0.0,0.0,1962502.29293811,5063.32652600653,47210379.6051393,13.6934605978262,1410369.74680038,2660273.31302319,4070643.05982357,1.18069777904181,27846.64,16344.84,58.6959,2566805.09,2327596.69,8609140.8,4532519.52,2052662.5,1519608.7,1168344.31,8.4303,34.6473,65.3527,48.7058,9.2506,1.1807,13.6935,91.16,58.6959,22776677.61
EtaRoad AG,2010,53.0,53.0,0.9921,3493968.14546698,33870790.3306972,9.69407530937014,24714368.6407286,2281202.31799235,22433166.3227362,114060.115899618,972829.34190918,0.0,0.0,16605892.8025927,1061443.24252982,597411.347458375,3086899.44715013,234802.214934081,36952.1461470048,0.0,0.0,1940724.43750144,4914.20943217443,49256237.8303835,14.0975062678484,1438237.96795643,2804145.79034203,4242383.75829846,1.21420218550145,38193.94,24957.73,65.3447,2723723.48,2359472.36,9078051.44,5060530.74,2131495.37,1747851.18,1204250.75,9.2303,33.9016,66.0984,47.8499,9.6941,1.2142,14.0975,99.21,65.3447,24305375.32
EtaRoad AG,2011,53.0,53.0,0.9332,3875379.01491636,32648796.6448553,8.42467188865655,26883105.4224635,2696447.36607516,24186658.0563883,134822.368303758,1090631.0414044,0.0,0.0,16742347.873087,1018397.22741186,548793.157857628,2963804.8582343,216520.810062848,38828.9598574708,0.0,0.0,2218809.78898207,4591.92980459446,51725831.0691657,13.3472960631909,1443561.22443109,3023332.25704854,4466893.48147963,1.15263396542287,41563.71,26099.82,62.7947,2914461.98,2747196.88,10008328.12,5412324.34,2413684.93,1912617.3,1402871.97,10.0303,32.3169,67.6831,45.9192,8.4247,1.1526,13.3473,93.32,62.7947,26811485.52
EtaRoad AG,2012,54.0,54.0,0.9024,3714292.08243968,30885777.6163491,8.31538740918357,24215689.6266373,2622623.94542451,21593065.6812128,131131.197271226,1057537.62062627,0.0,0.0,17000994.570913,968742.540261467,571386.453710994,2430242.51197473,251126.277288522,41349.8175670952,0.0,0.0,2171072.35115132,5029.70019241529,48713171.4703231,13.1150621408122,1413574.38625697,2699133.2101516,4112707.59640857,1.10726553139224,48761.24,29648.49,60.8034,2538845.9,2363999.56,9289452.41,4625887.26,2178620.12,1711514.09,1190714.99,10.8303,34.3709,65.6291,48.1183,8.3154,1.1073,13.1151,90.24,60.8034,23899034.33
EtaRoad AG,2013,54.0,54.0,0.893,3608509.4292563,34177706.5328008,9.47141948852956,27523548.0789911,3201062.24649388,24322485.8324972,160053.112324694,1019264.38381742,0.0,0.0,18761616.6381002,811439.416506472,549387.208956462,2307490.47694102,231007.485053123,41323.3780606705,0.0,0.0,2186448.85548996,4980.37812681201,53436506.3000432,14.808470740523,1485878.76848827,3040310.72906215,4526189.49755042,1.2543100097935,48340.98,27978.87,57.8782,2839733.89,2757646.93,10240653.46,5493840.06,2410697.74,1839425.86,1391079.17,11.6303,32.8285,67.1715,46.5856,9.4714,1.2543,14.8085,89.3,57.8782,26973077.11
EtaRoad AG,2014,54.0,54.0,0.8667,3935092.26903582,34202688.8457199,8.69171203807638,26424520.0973384,3284638.51392846,23139881.58341,164231.925696423,1026313.07928472,0.0,0.0,18338789.2664802,773356.678124553,605987.67606418,2175011.25643776,261796.422455533,39828.4231763436,0.0,0.0,2047144.39300966,4817.47864284472,51697564.7710142,13.1375737178537,1446209.05767164,2892485.19792625,4338694.25559789,1.10256480889607,53501.16,39460.75,73.7568,2840466.7,2666295.03,9901717.11,5069059.07,2477452.61,1782538.15,1380712.53,12.4303,33.3328,66.6672,46.9011,8.6917,1.1026,13.1376,86.67,73.7568,26118241.2
EtaRoad AG,2015,55.0,55.0,1.0,3839388.45082484,32572111.966058,8.4836719137029,27583502.2866938,3649371.11776948,23934131.1689244,182468.555888474,1151731.25778001,0.0,0.0,18201652.6927015,650281.469568791,640137.85593182,2021266.82633861,270409.132922666,36508.3537252482,0.0,0.0,2277578.81784512,4811.29046965334,52837879.9839772,13.7620562911851,1430413.6558661,2991766.39611554,4422180.05198165,1.15179282029449,42701.83,25620.5,59.9986,2916925.63,2739169.12,10267634.73,5443278.02,2414353.99,1884022.03,1366448.72,13.2303,32.3463,67.6537,45.6162,8.4837,1.1518,13.7621,100.0,59.9986,27031832.24
EtaRoad AG,2016,55.0,55.0,1.0,4411508.61393138,40033053.6734846,9.07468559554927,28006246.8141965,3929351.32379711,24076895.4903994,196467.566189856,1150020.4963139,0.0,0.0,19823924.9556015,624140.26182306,612173.923277145,1854578.80959873,268640.114545114,38247.4167026927,0.0,0.0,2403800.73430098,4904.27358524516,54786677.7999449,12.4190345286714,1511350.70623452,3009611.93629993,4520962.64253444,1.0248110200346,43001.96,29333.56,68.2145,2898091.29,2842352.97,10756029.99,5170723.95,2489310.5,1977805.25,1311807.92,14.0303,33.4298,66.5702,46.7822,9.0747,1.0248,12.419,100.0,68.2145,27446121.87
EtaRoad AG,2017,55.0,55.0,1.0,4360393.95881412,40705504.9325659,9.33528147159355,28332263.6266913,4201750.46345481,24130513.1632365,210087.523172741,1094089.3636824,0.0,0.0,19961453.7512705,525071.735858682,617017.821780358,1938413.64379299,260765.160361392,40447.4942065266,0.0,0.0,2416621.2846966,5045.16828814662,55191189.0506288,12.6573859086895,1516747.32233945,3016314.14540456,4533061.46774401,1.03959906158958,52218.41,41627.57,79.7182,2897805.38,2817696.16,10287172.39,5760825.85,2603975.69,2020132.36,1378010.53,14.8303,33.4597,66.5403,46.6829,9.3353,1.0396,12.6574,100.0,79.7182,27765618.36
EtaRoad AG,2018,56.0,56.0,1.0,3967718.1662552,37273954.4861439,9.39430496932792,29517662.4722022,4613689.58207709,24903972.8901251,230684.479103854,1164899.30514787,0.0,0.0,18751901.4480513,400230.221675075,615714.191765591,1818851.79146736,268372.056230476,42290.793589197,0.0,0.0,2432677.09048865,4615.97789111248,55017215.3485088,13.8662105127379,1429256.43140399,3112996.61126563,4542253.04266962,1.14480234037305,55684.14,43323.84,77.8028,3188205.83,3048854.41,10697386.55,5960365.73,2584864.05,1987836.52,1413446.36,15.6303,31.4658,68.5342,44.231,9.3943,1.1448,13.8662,100.0,77.8028,28880959.45
