Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
GammaTire SA,2009,25.0,25.0,0.8543,2212407.96017868,17658954.867089,7.98178056892492,11518818.2665365,1112593.71766961,10406224.5488669,55629.6858834807,945130.533876578,0.0,0.0,6634101.87815869,385056.956705893,383667.618162382,2374228.32675538,72144.4832302815,56082.187668084,0.0,0.0,1393032.04449034,3759.69158958924,23766021.9871737,10.7421517256041,704380.046782636,1300778.06860836,2005158.115391,0.906323856848289,31568.1,20679.77,65.5084,1314643.32,958861.62,3314408.652,2262137.796,1805585.472,963029.16,812238.696,9.6589,35.1284,64.8716,47.5556,7.9818,0.9063,10.7422,85.43,65.5084,11430904.72
GammaTire SA,2010,25.0,25.0,0.9233,2393919.30365699,18839145.1852268,7.86958238585897,12819448.1898826,1340776.13818544,11478672.0516971,67038.806909272,1039242.30911334,0.0,0.0,6481122.04790206,384714.832984114,346564.740142738,2087839.56320592,79046.9068122174,58964.6480431678,0.0,0.0,1349727.8074679,4009.44001460331,24650680.4855686,10.2972061121324,669557.507956118,1434834.00646214,2104391.51441826,0.879056997119139,29739.33,19957.48,67.108,1461485.16,977850.72,3795227.388,2550013.704,1919823.624,1023710.84,834947.784,10.4589,31.8172,68.1828,43.7797,7.8696,0.8791,10.2972,92.33,67.108,12563059.22
GammaTire SA,2011,25.0,25.0,0.9138,2380614.32931305,18699237.4990249,7.85479498664565,12398464.5798975,1395933.50574293,11002531.0741545,69796.6752871464,1074069.27557317,0.0,0.0,6405255.86784847,326313.325699286,356694.638507902,1968343.68058822,73781.7751881207,61200.6517813467,0.0,0.0,1422093.797347,3823.81989536154,24090041.4123263,10.1192541419667,654954.682086639,1375316.38426932,2030271.06635595,0.852834934813574,27284.08,15430.26,56.5541,1462346.784,964421.028,3778890.084,2389076.172,1749271.968,935459.98,871029.324,11.2589,32.2595,67.7405,44.0743,7.8548,0.8528,10.1193,91.38,56.5541,12150495.34
GammaTire SA,2012,26.0,26.0,0.9226,2315240.23487918,18125965.6419007,7.82897833617107,14041807.9619962,1693290.72558178,12348517.2364144,84664.5362790889,1069271.89845718,0.0,0.0,6570921.53338086,292217.035980233,369757.092906924,1869908.50654439,76309.1998694471,56121.1058627993,0.0,0.0,1404966.22095212,3881.26367804465,25755161.8196282,11.1241854869424,653093.279610234,1543564.6545518,2196657.93416203,0.948781859035318,28541.19,16476.92,57.7303,1614938.256,1145920.392,4032567.0,2898751.536,2149711.416,1076315.68,942119.136,12.0589,29.7312,70.2688,41.328,7.829,0.9488,11.1242,92.26,57.7303,13860323.42
GammaTire SA,2013,26.0,26.0,0.933,2670027.82732128,20815877.7477757,7.79612764135847,12552020.4375032,1614054.56759024,10937965.869913,80702.7283795121,1154092.99279419,0.0,0.0,6955414.41712059,301475.75492922,402540.53047562,1831139.08683559,81521.2570529234,57778.3621369295,0.0,0.0,1327197.81771088,4310.83001805779,24667491.4865772,9.2386645690225,670779.930208417,1367245.73373912,2038025.66394754,0.763297536862079,39800.71,25912.38,65.1053,1422897.732,991091.16,3765045.42,2519340.84,1847588.58,949138.35,805877.928,12.8589,32.9132,67.0868,44.4365,7.7961,0.7633,9.2387,93.3,65.1053,12300980.01
GammaTire SA,2014,26.0,26.0,0.9733,2529056.84152052,18809481.1188842,7.437350086436,12723263.5939337,1737860.70094104,10985402.8929926,86893.0350470519,1137696.86171266,0.0,0.0,6615082.40160995,242431.929125243,410958.469105557,1670994.22919786,90827.9380545795,57136.6263305187,0.0,0.0,1524199.26086561,4095.16432462604,24476686.4742603,9.67818756479366,645895.528001742,1373175.36162408,2019070.88962582,0.79834935161517,33990.6,23819.56,70.0769,1515221.892,1059222.312,3668573.988,2542776.048,1815231.888,1014671.18,851111.568,13.6589,31.9897,68.0103,43.3708,7.4374,0.7983,9.6782,97.33,70.0769,12466808.88
GammaTire SA,2015,27.0,27.0,1.0,2715195.65678047,19619238.0279307,7.22571796214278,14007545.4767961,2025340.13052257,11982205.3462736,101267.006526129,1130359.67874464,0.0,0.0,7215458.6091321,242395.147564042,448518.549651992,1559992.56930456,87712.59331354,61918.8641468542,0.0,0.0,1552245.53511356,4315.03489193528,26310462.0586593,9.69007960548113,675041.418316619,1497775.66828419,2172817.08660081,0.80024328308525,23979.86,13949.85,58.1732,1647983.412,1109138.004,4093230.924,2831334.732,2004296.724,1059306.81,982103.976,14.4589,31.0676,68.9324,42.4643,7.2257,0.8002,9.6901,100.0,58.1732,13727394.58
GammaTire SA,2016,27.0,27.0,1.0,2526965.15889673,18214336.931318,7.20798894562928,14626600.8926119,2231861.67984432,12394739.2127676,111593.083992216,1100272.16718268,0.0,0.0,7052187.20075412,187825.459713297,391136.565680908,1483280.87813078,89236.5474902207,58819.1230521233,0.0,0.0,1461699.68798048,4160.00216021867,26455218.5247567,10.4691663166053,645946.827944419,1549342.40159595,2195289.22954037,0.86874534926268,24170.85,19580.08,81.007,1669565.844,1225109.916,4187519.748,3039742.044,2200067.748,1227811.27,980224.704,15.2589,29.4242,70.5758,40.5529,7.208,0.8687,10.4692,100.0,81.007,14530041.27
GammaTire SA,2017,27.0,27.0,1.0,2795235.62506679,20969378.5200476,7.50182858718629,15000620.8107392,2408938.05539483,12591682.7553444,120446.902769741,1269558.60003246,0.0,0.0,7948758.88575733,177345.566353775,445184.54647692,1475873.78640694,88712.0520403678,61285.3415818256,0.0,0.0,1596660.54029639,4289.79332141847,28068289.9230066,10.0414754560578,705798.707923435,1573960.34441805,2279759.05234148,0.815587434525134,33198.96,26947.98,81.1712,1747748.556,1177522.956,4444635.096,2892990.276,2207454.372,1172281.99,1057975.164,16.0589,30.9594,69.0406,42.0336,7.5018,0.8156,10.0415,100.0,81.1712,14700608.41
GammaTire SA,2018,28.0,28.0,1.0,2908144.10799124,20470914.9199904,7.03916799162003,14072689.1458379,2372503.74257743,11700185.4032605,118625.187128871,1176328.50180262,0.0,0.0,8066114.55037366,147824.979563563,428049.279960944,1189065.69212892,94425.0967062602,62796.1259598342,0.0,0.0,1705091.9783383,4026.97160152083,26946412.3222736,9.2658449243378,692889.863908694,1462523.17540756,2155413.03931626,0.741164453781169,24190.31,15139.75,62.586,1723438.044,1142345.844,4104612.972,2781616.428,2015555.904,1065149.56,958516.632,16.8589,32.1465,67.8535,43.4098,7.0392,0.7412,9.2658,100.0,62.586,13791235.38
