Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
IotaTire PLC,2009,41.0,41.0,0.9986,2171287.66030834,21025956.848531,9.68363484622074,19175146.7556529,1517395.95850429,17657750.7971486,75869.7979252143,1741577.10852613,0.0,0.0,38040577.2403286,1921540.0478888,224317.10103129,5105792.4744795,222719.754222474,158915.973899323,0.0,0.0,1842639.67347078,7015.75757806416,68440241.8870778,31.5205779216553,2857358.36376234,2207218.84964358,5064577.21340591,2.3325224501514,20725.78,11860.18,57.2243,1952125.68,1557713.94,8620569.54,3807540.01,1480483.61,1142723.86,600773.6,7.9133,56.4185,43.5815,69.438,9.6836,2.3325,31.5206,99.86,57.2243,19161930.24
IotaTire PLC,2010,41.0,41.0,0.9695,2384116.98260828,23037128.0393977,9.66275069866517,20917803.0577013,1822640.82843274,19095162.2292685,91132.0414216372,1694274.66806198,0.0,0.0,36895105.354761,1910692.87048237,232565.203399868,5232440.22563342,220008.630177723,168085.764725865,0.0,0.0,1862160.93136517,6171.99208231416,69139308.698391,28.9999648518719,2803858.94836845,2386895.27865856,5190754.22702702,2.17722295713368,26077.69,18838.58,72.2402,1992329.47,1573995.16,9707679.43,3789915.93,1673818.46,1175150.73,586557.82,8.7133,54.0164,45.9836,67.2949,9.6628,2.1772,29.0,96.95,72.2402,20499447.0
IotaTire PLC,2011,41.0,41.0,0.943,2459742.69735446,24193085.5080562,9.83561635697779,19629798.3764144,1867450.8942934,17762347.482121,93372.5447146701,1932117.2421693,0.0,0.0,35105022.0077461,1761914.83691312,213694.707611721,4381886.77994898,215973.735911678,153281.603483814,0.0,0.0,1939799.64546512,6422.04596458327,65339910.9816288,26.5637178441079,2625326.39112758,2220293.43526513,4845619.82639271,1.96997020525942,20214.01,14674.36,72.595,1880024.46,1579587.17,8739850.17,3789104.09,1476129.2,1185177.88,587329.44,9.5133,54.1794,45.8206,67.0004,9.8356,1.97,26.5637,94.3,72.595,19237202.41
IotaTire PLC,2012,42.0,42.0,0.9881,2575924.89825787,25457470.847765,9.88284668741011,22101044.537683,2279357.48061159,19821687.0570714,113967.874030579,1787883.42915327,0.0,0.0,36602982.4344282,1439486.57192847,226815.579602399,4599923.60728104,228838.815131069,157497.678242867,0.0,0.0,1826465.81016318,6945.10494088683,68977883.5685544,26.7779094084633,2691360.31947994,2477710.88213392,5169071.20161386,2.00668552297847,34508.26,26850.58,77.8091,2267793.48,1790400.37,9791586.31,4002896.93,1842492.98,1341531.24,682692.69,10.3133,52.0666,47.9334,65.3673,9.8828,2.0067,26.7779,98.81,77.8091,21719394.0
IotaTire PLC,2013,42.0,42.0,0.9031,2461058.5858162,23951974.6462958,9.73238702416025,22563024.2094381,2507507.24230131,20055516.9671368,125375.362115065,2012345.27427659,0.0,0.0,40986049.3511825,1400628.16956556,227017.446610899,4048666.73616188,235377.42587795,155188.997402298,0.0,0.0,2121280.00058084,6304.49339930321,73755882.1044959,29.9691695799412,2907721.81685568,2506939.62089209,5414661.43774777,2.20013512435423,27983.85,16277.46,58.1673,2171733.0,1838537.25,10306655.69,4158590.31,1803524.72,1294784.87,682439.29,11.1133,53.7009,46.2991,66.6801,9.7324,2.2001,29.9692,90.31,58.1673,22256265.13
IotaTire PLC,2014,42.0,42.0,0.8811,2494961.85289172,24032481.8687967,9.63240453594208,21635539.1161511,2577516.9156363,19058022.2005148,128875.845781815,1963275.51886758,0.0,0.0,43481410.0019657,1301301.46731609,235349.332066177,3716728.3271205,245250.425174808,159210.420744444,0.0,0.0,2171830.46380492,6847.37624968482,74916742.449461,30.0272095794294,3016994.40991266,2382252.77506435,5399247.18497701,2.16406001507364,24657.59,18871.46,76.5341,2122524.7,1723092.44,9466295.76,3934995.93,1712235.45,1295528.14,655558.17,11.9133,55.8781,44.1219,68.4999,9.6324,2.1641,30.0272,88.11,76.5341,20910230.59
IotaTire PLC,2015,43.0,43.0,1.0,2831505.09483403,27695157.9919555,9.78107298570086,22019406.6622563,2799403.64288275,19220003.0193736,139970.182144138,1986774.0135676,0.0,0.0,42987560.9355313,1081500.84753557,247325.993068125,3548446.72458185,242994.347390656,154596.823767657,0.0,0.0,2074427.50194697,6966.89245373445,74350000.7420998,26.2581200640424,2950196.53909982,2402500.3774217,5352696.91652151,1.89040695222032,28432.95,20973.43,73.7645,2281237.48,1810849.75,9662610.33,4175531.98,1691958.91,1287084.31,692730.26,12.7133,55.1161,44.8839,67.7119,9.7811,1.8904,26.2581,100.0,73.7645,21602003.02
IotaTire PLC,2016,43.0,43.0,1.0,2781542.94221837,24436510.965339,8.78523591868407,23709410.4305257,3203934.97480932,20505475.4557163,160196.748740466,2130561.46699281,0.0,0.0,40717114.3828858,1001433.20533125,256320.96140652,3504268.01355172,231274.006296706,160083.321286186,0.0,0.0,2179780.4176302,6099.05299624645,73896345.258903,26.5666742502161,2817725.84967122,2563184.43196454,5380910.28163576,1.93450555803547,25026.85,17135.88,68.47,2398955.07,1935155.44,10971383.61,4283950.14,1863836.83,1425084.22,681967.99,13.5133,52.3652,47.6348,65.0321,8.7852,1.9345,26.5667,100.0,68.47,23560333.3
IotaTire PLC,2017,43.0,43.0,1.0,2873597.42481536,24678809.3527197,8.58812342313586,23965383.6939671,3430248.60045099,20535135.0935161,171512.430022549,2293418.34509402,0.0,0.0,42724599.0069263,899671.967540873,276251.423429718,3153437.40752345,242177.044432706,174384.732198279,0.0,0.0,2089784.24106816,6667.57045620516,75825775.4326368,26.3870557433803,2891572.83653921,2566891.88668952,5458464.72322873,1.89952311207248,30041.7,16792.25,55.8965,2295543.09,1897468.51,10619179.54,4584177.11,1953555.5,1481145.08,697403.47,14.3133,52.9741,47.0259,65.3696,8.5881,1.8995,26.3871,100.0,55.8965,23528472.3
IotaTire PLC,2018,44.0,44.0,1.0,2995172.41695093,26099598.4645175,8.7138884949691,24557004.8036851,3711385.42302824,20845619.3806569,185569.271151412,2203109.09829763,0.0,0.0,45854685.0491929,756727.626776834,283488.515553167,2750290.76622623,275594.865057456,153914.254910307,0.0,0.0,2343614.18717278,7033.76507173098,79185462.9319441,26.4376977044128,3038167.90741593,2605702.42258211,5643870.32999803,1.88432235087937,27472.85,15885.72,57.8233,2489203.66,2005123.79,10767091.51,4869360.17,1876542.44,1479504.97,752111.84,15.1133,53.8313,46.1687,66.2058,8.7139,1.8843,26.4377,100.0,57.8233,24238938.38
IotaTire PLC,2019,44.0,44.0,1.0,2821752.39931211,26297671.6782254,9.31962410473586,26494407.5395905,4216147.08746699,22278260.4521235,210807.354373349,2400792.20673693,0.0,0.0,48257303.0933879,608064.163785264,250029.834382495,2666059.4129572,248360.202961743,174880.305186359,0.0,0.0,2163733.23565111,7025.34985783717,83270655.3444974,29.5102629716191,3139543.93357477,2784782.55651544,5924326.49009021,2.09952031635889,39777.63,29546.96,74.2803,2641425.06,2018315.39,12166002.81,4667158.26,2132234.83,1545757.88,793625.17,15.9133,52.9941,47.0059,65.2997,9.3196,2.0995,29.5103,100.0,74.2803,25964519.4
IotaTire PLC,2020,44.0,44.0,1.0,2946691.79140718,27455589.5033591,9.31742830499684,27032183.8231115,4517982.76575808,22514201.0573534,225899.138287904,2408285.4337565,0.0,0.0,45845475.0119558,418068.839613141,259608.26038038,2245463.83459392,268534.652120435,156030.487032568,0.0,0.0,2171033.95382461,6762.14386094239,80811446.4402497,27.4244651836012,2954820.40338818,2814275.13216917,5769095.53555735,1.95782115807991,32903.43,23814.38,72.3766,2710355.6,2212657.67,11914569.62,4910306.7,2107883.89,1566711.52,841115.88,16.7133,51.2181,48.7819,63.5689,9.3174,1.9578,27.4245,100.0,72.3766,26263600.88
