Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
ThetaDrive NV,2009,30.0,30.0,0.9474,4520121.78361705,25392531.5716666,5.61766536107512,10033567.7028043,957326.061712552,9076241.64109173,47866.3030856276,1968072.18767978,0.0,0.0,34143537.553204,177598.051283407,204031.676245886,426832.746125886,370544.354186998,81811.7292457703,0.0,0.0,1175376.5339295,4575.06252417825,48585947.5972297,10.7488138424338,2077629.98495885,1134530.20513647,3212160.19009531,0.710635762456141,61041.6,35046.48,57.4141,1239946.71,898373.42,4419813.03,1725473.83,680847.17,464854.64,403587.56,9.5412,64.6801,35.3199,75.2981,5.6177,0.7106,10.7488,94.74,57.4141,9832896.36
ThetaDrive NV,2010,30.0,30.0,0.9237,5023822.04159298,27624864.7485855,5.49877454254453,11581265.0057233,1197645.58586397,10383619.4198593,59882.2792931985,1929054.36667686,0.0,0.0,37235240.9746004,166730.487563179,193430.750007216,433830.174987248,416790.466810024,80139.0549506778,0.0,0.0,1088873.74933347,4407.81559023561,53129762.8462426,10.5755662534169,2248360.9002403,1297952.42748242,3546313.32772272,0.705899472226974,48337.72,38889.51,80.4538,1528094.72,1053543.41,5102222.36,2028482.38,784465.05,562877.63,448724.83,10.3412,63.4,36.6,74.5711,5.4988,0.7059,10.5756,92.37,80.4538,11508410.38
ThetaDrive NV,2011,30.0,30.0,0.9837,4857398.26011437,30024099.4740628,6.1811072237169,11610359.97449,1293537.24413936,10316822.7303507,64676.8622069682,2127539.48940141,0.0,0.0,36646183.1338387,162856.297794797,212437.131746519,375177.074185946,385232.222655263,77753.0608281786,0.0,0.0,1196462.23345017,4378.51445115526,52798379.1328422,10.8696829671938,2215136.0519538,1289602.84129383,3504738.89324763,0.72152594981271,65366.45,42130.89,64.4534,1379977.53,1046455.47,5074312.24,2084644.47,815916.01,537205.15,439641.91,11.1412,63.204,36.796,73.9805,6.1811,0.7215,10.8697,98.37,64.4534,11378152.78
ThetaDrive NV,2012,31.0,31.0,0.9053,4982416.36931622,30574316.9895947,6.13644358947679,11592171.3871826,1384248.18236549,10207923.2048172,69212.4091182743,2075317.05581111,0.0,0.0,34279518.9174121,138526.176443398,234552.090697094,390393.176149145,415925.098155646,86074.9865973573,0.0,0.0,1231123.70997422,4414.49494832018,50448017.093371,10.1252110128834,2087426.15544674,1275990.40060214,3363416.55604888,0.67505730287059,66304.35,48927.68,73.7926,1454825.01,1076246.15,4960004.8,2028962.89,814452.29,584995.45,467400.35,11.9412,62.0627,37.9373,72.9078,6.1364,0.6751,10.1252,90.53,73.7926,11386886.94
ThetaDrive NV,2013,31.0,31.0,0.9464,5436627.76076887,31561106.9222085,5.80527273725745,12103564.2968165,1542143.31506297,10561420.9817536,77107.1657531484,2034312.51595208,0.0,0.0,39835246.5682928,136064.907269896,227212.732443681,336932.823915782,455475.764322745,81631.4394326685,0.0,0.0,1276499.15911969,4400.59455884666,56491340.8021247,10.3908789212627,2399435.04112454,1320177.62271919,3719612.66384373,0.684176446782829,46974.68,36965.05,78.6914,1471090.07,1004254.77,5296791.43,2180823.83,840512.08,597317.53,470703.31,12.7412,64.5077,35.4923,74.9734,5.8053,0.6842,10.3909,94.64,78.6914,11861493.02
ThetaDrive NV,2014,31.0,31.0,0.873,4858612.34239209,26907574.0653651,5.53811915196293,11690519.3359425,1583040.44934464,10107478.8865979,79152.0224672321,2205088.32480883,0.0,0.0,37470894.5329888,125858.08657099,241655.00413321,351230.67379071,416190.702373052,84304.3152719581,0.0,0.0,1234975.2271383,4453.47180312142,53825169.6748215,11.0783009389716,2262791.72139641,1263434.86082473,3526226.58222115,0.725768251040388,57603.72,33034.95,57.3486,1505854.53,1038751.7,5020249.97,2151307.63,817998.85,560037.03,454535.96,13.5412,64.1703,35.8297,74.1838,5.5381,0.7258,11.0783,87.3,57.3486,11548735.67
ThetaDrive NV,2015,32.0,32.0,1.0,5117640.82184496,30109436.5184172,5.88346028308458,12304355.870762,1764596.3310553,10539759.5397067,88229.8165527649,2065405.43637317,0.0,0.0,42045856.3461644,99099.5307847712,238244.639146206,321587.888508257,450575.608141781,87043.658334122,0.0,0.0,1264979.0090324,4984.13285818944,58882132.1201054,11.5057179997399,2518854.59539013,1317469.94246334,3836324.53785347,0.749627547419483,65417.84,37324.5,57.0555,1610462.16,1076583.84,5255631.7,2174119.83,864949.72,589285.58,487235.93,14.3412,65.658,34.342,75.5957,5.8835,0.7496,11.5057,100.0,57.0555,12058268.76
ThetaDrive NV,2016,32.0,32.0,1.0,4991801.96881371,27088073.6123193,5.426512065493,12851084.4716075,1945812.62875231,10905271.8428552,97290.6314376154,2255827.30443753,0.0,0.0,41095043.8518428,96182.9583578329,234226.398867132,294849.596294414,452612.269358279,84200.0999474706,0.0,0.0,1236398.21719302,5083.74667029908,58605508.9145763,11.7403513361937,2461271.48311001,1363158.9803569,3824430.46346691,0.766142264328602,59702.57,37140.83,62.2098,1656413.0,1137775.13,5487385.26,2287296.75,890940.52,626630.25,507621.87,15.1412,64.3565,35.6435,74.2227,5.4265,0.7661,11.7404,100.0,62.2098,12594062.78
ThetaDrive NV,2017,32.0,32.0,1.0,5499059.26443576,33749952.0272995,6.13740467311776,13213912.9453915,2106460.63652274,11107452.3088687,105323.031826137,2202106.02604562,0.0,0.0,38178684.5025445,73978.4578827358,240102.865276268,265576.983948706,440490.498072664,83929.3812417715,0.0,0.0,1267494.49568712,4903.12114784124,55971179.2772387,10.1783189788884,2294473.93109398,1388431.53860859,3682905.46970257,0.669733729461901,70840.53,51971.31,73.3638,1738183.85,1219306.55,5615630.55,2469094.61,959368.46,629593.22,545777.77,15.9412,62.3006,37.6994,72.4572,6.1374,0.6697,10.1783,100.0,73.3638,13176955.01
ThetaDrive NV,2018,33.0,33.0,1.0,5839912.58325617,36148610.0491595,6.18992314248034,14097912.1409033,2360164.30415331,11737747.83675,118008.215207665,2186028.65252308,0.0,0.0,40965737.6229394,67581.4773840067,240333.685199642,242751.321258626,454459.234817759,79192.7835899999,0.0,0.0,1247849.95298744,4578.57602379983,59586425.447627,10.203307771844,2448049.19998138,1467218.47959375,3915267.67957513,0.670432583323377,51987.42,33297.01,64.0482,1809387.27,1181389.91,6168595.18,2526981.14,951835.06,645839.94,531925.4,16.7412,62.5257,37.4743,72.6717,6.1899,0.6704,10.2033,100.0,64.0482,13815953.9
