Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
VerdaTyres Corp,2009,53.0,53.0,0.9595,1287667.40731299,10733992.5078151,8.33599767055848,5280887.97979024,561095.142946107,4719792.83684414,28054.7571473054,159571.441116187,0.0,0.0,5551786.00771981,167057.665242952,182524.711515381,403030.434586812,87500.6473025274,18230.9649917761,0.0,0.0,387829.320214949,2289.46244573487,12240708.6349264,9.50611047962254,399706.579217756,589974.104605517,989680.683823273,0.768584091049154,13677.32,11033.4,80.6693,432272.124,319979.304,2294655.876,917860.068,403801.344,492683.544,320057.136,10.625,40.3874,59.6126,55.5544,8.336,0.7686,9.5061,95.95,80.6693,5181309.396
VerdaTyres Corp,2010,53.0,53.0,0.862,1215645.13986388,9644463.88354261,7.93361776992139,4710754.10689004,538204.365965912,4172549.74092413,26910.2182982956,160876.921796625,0.0,0.0,5766108.87047297,144393.385807513,179792.387651147,345110.514956583,85288.7081675468,18886.483688463,0.0,0.0,438829.610537897,2435.46995175256,11852476.4599205,9.74994763788366,407674.710839207,521568.717615516,929243.428454723,0.764403523678611,15750.52,8750.32,55.5558,394569.36,292041.576,2058859.872,820956.528,364929.084,415668.384,283344.984,11.425,43.8717,56.1283,58.8978,7.9336,0.7644,9.7499,86.2,55.5558,4630369.788
VerdaTyres Corp,2011,53.0,53.0,0.9594,1220912.53676841,9573912.2563923,7.84160369237683,5055307.26175877,618012.073879846,4437295.18787892,30900.6036939923,184254.041287847,0.0,0.0,5910737.33070644,137720.195576777,193639.960826157,361692.980823474,94760.1245544441,16887.8461422541,0.0,0.0,406256.513568353,2322.99486032753,12363579.2501048,10.126506918202,416039.567785077,554661.898484865,970701.466269942,0.795062248143721,13458.87,8460.67,62.8632,408948.192,292383.612,2227603.5,897794.82,402647.94,467952.516,294208.992,12.225,42.8597,57.1403,57.621,7.8416,0.7951,10.1265,95.94,62.8632,4991539.572
VerdaTyres Corp,2012,54.0,54.0,0.8816,1270375.09468501,11274943.8315235,8.87528721138789,5595261.08950538,728783.599333658,4866477.49017173,36439.1799666829,169751.938965087,0.0,0.0,6066090.15216947,123274.555326472,205334.681214941,321702.527567948,89417.9489505768,16937.4993315746,0.0,0.0,454001.615628926,2302.80701909742,13044074.8156795,10.2678924281917,423309.835493516,608309.686271466,1031619.52176498,0.812058994293156,14735.9,10461.78,70.9952,427319.064,339326.1,2434909.824,963341.316,467713.944,527021.496,346069.044,13.025,41.0335,58.9665,55.8036,8.8753,0.8121,10.2679,88.16,70.9952,5505700.788
VerdaTyres Corp,2013,54.0,54.0,0.9847,1368361.80967297,11158380.6729794,8.15455429558221,5157674.93619303,713049.336471057,4444625.59972198,35652.4668235529,193257.58116723,0.0,0.0,6065766.27762599,106780.70313995,182762.830093751,285749.74313159,97012.732715487,18478.1303689174,0.0,0.0,454313.121016137,2226.51051368441,12564022.5659658,9.18179861287452,418199.249794137,555578.199965247,973777.449759384,0.711637406770442,13864.65,7991.19,57.6372,420215.724,307608.444,2233230.552,927933.732,393402.204,483191.028,301995.684,13.825,42.9461,57.0539,57.4107,8.1546,0.7116,9.1818,98.47,57.6372,5067577.368
VerdaTyres Corp,2014,54.0,54.0,0.9994,1354620.76198052,11279336.9081972,8.32656432321788,5939198.60512406,868608.690208396,5070589.91491566,43430.4345104198,193643.86759403,0.0,0.0,5710027.20261197,106793.764418211,207377.75667947,287426.577890947,93607.1831602381,18051.2981759628,0.0,0.0,441255.95428037,2368.68998503485,12999750.8999203,9.59659800349881,398922.302342316,633823.739364458,1032746.04170677,0.762387577905458,17119.23,10856.36,63.4162,465062.076,349723.944,2528458.704,1093332.384,476900.388,545095.296,361841.832,14.625,38.6273,61.3727,52.8234,8.3266,0.7624,9.5966,99.94,63.4162,5820414.624
VerdaTyres Corp,2015,55.0,55.0,1.0,1401007.02027595,12454601.6636524,8.88974964679282,5985163.22396166,923212.328425547,5061950.89553611,46160.6164212773,180059.35227313,0.0,0.0,6332425.69126214,87309.9526795849,219597.082577658,282497.297843945,96190.1986197199,18045.6144157553,0.0,0.0,489339.250257907,2260.71575750936,13692888.379649,9.77360440131986,435258.125747305,632743.861942014,1068001.98768932,0.762310232734567,17071.69,13638.68,79.8906,459109.548,348192.252,2570838.444,1058511.708,473482.764,526348.08,370915.092,15.425,40.7544,59.2456,54.975,8.8897,0.7623,9.7736,100.0,79.8906,5807397.888
VerdaTyres Corp,2016,55.0,55.0,1.0,1502714.04925414,12532899.7166911,8.34017604541042,6025541.11953624,977644.953853534,5047896.16568271,48882.2476926767,192141.204372493,0.0,0.0,5952513.96925066,78656.737851383,194293.13871392,264639.984508781,107710.222869608,18589.9416565681,0.0,0.0,476274.931774168,2224.36480903108,13312585.6153428,8.85902785160653,410300.02159841,630987.020710338,1041287.04230875,0.692937583717662,15774.4,9872.44,62.5852,470343.636,338645.16,2714046.804,1008941.256,491147.064,541231.236,340675.128,16.225,39.4032,60.5968,53.2947,8.3402,0.6929,8.859,100.0,62.5852,5905030.284
VerdaTyres Corp,2017,60.0,55.0,0.916667,1561904.2204,13870715.6395,8.880644,5547386.102,936471.5976,4564090.9245,46823.5799,194843.189,0.0,0.0,6151725.9934,72736.7084,0.0,0.0,103306.9553,0.0,0.0,0.0,0.0,0.0,12069998.9482,7.727746,359756.8713,570511.3656,930268.2369,0.595599,12555.61,9670.01,77.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7254,38.6724,61.3276,52.4256,8.8806,0.5956,7.7277,91.67,77.0174,0.0
VerdaTyres Corp,2018,56.0,56.0,1.0,1485019.28574157,11740235.6819064,7.90577994146636,6051659.65768308,1078709.24512321,4972950.41255987,53935.4622561605,206683.123133036,0.0,0.0,6422270.33153488,56947.8246720369,236815.884726534,214564.880229867,104829.298155711,17702.7940257968,0.0,0.0,481253.49976745,2288.23652511467,13795015.5304535,9.28945210537431,433407.313161422,621618.801569984,1055026.11473141,0.710446069530039,18359.42,11737.96,63.9343,463003.2,356236.344,2675639.952,1114309.692,490792.392,565738.884,362090.7,17.825,41.0802,58.9198,54.6333,7.9058,0.7104,9.2895,100.0,63.9343,6027811.164
