Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Total Waste,Waste Recovered,Recovery Rate,Elec_Canada_GJ,Elec_Mexico_GJ,Elec_United_States_GJ,Elec_Japan_GJ,Elec_France_GJ,Elec_Hungary_GJ,Elec_Italy_GJ,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%,Waste_Recovery_Rate_%,Total_Electricity_by_Country_GJ
ZetaTrac LLC,2009,45.0,45.0,0.9351,3974798.51172395,30315513.2621791,7.62693081743927,17800908.9139773,1217458.50026747,16583450.4137098,60872.9250133737,1803320.40899834,0.0,0.0,23344260.2747534,1193103.48528296,329053.294854601,594731.918068313,171829.795986414,76345.5081085608,0.0,0.0,1575257.28188566,3564.33387551456,46892375.2157911,11.7974219516986,1596404.88659331,2072931.30171373,3669336.18830704,0.923150237045746,59200.21,45969.11,77.6502,1151786.99,1603370.63,9750473.72,2740475.67,862590.5,846155.26,490037.95,6.8393,43.5066,56.4934,58.1931,7.6269,0.9232,11.7974,93.51,77.6502,17444890.72
ZetaTrac LLC,2010,45.0,45.0,0.9145,3660300.61470821,28865558.6045584,7.88611691853061,20213963.1054344,1544206.34743337,18669756.7580011,77210.3173716683,1951415.85001637,0.0,0.0,24113095.9359604,1001019.09861256,344177.474428065,559478.041111353,162625.203266156,74611.6584509815,0.0,0.0,1598036.2846276,3225.86531289086,50021648.5172208,13.6659946224686,1619965.58617028,2333719.59475013,3953685.18092042,1.08015313415333,37870.86,29038.26,76.6771,1344883.97,1788965.91,11004466.92,3246328.71,1053132.88,995168.37,597137.85,7.6393,40.9736,59.0264,55.6884,7.8861,1.0802,13.666,91.45,76.6771,20030084.61
ZetaTrac LLC,2011,45.0,45.0,0.8992,3840186.56902792,28901192.1127398,7.52598645749018,20927723.7338783,1766154.49056041,19161569.2433179,88307.7245280207,1899347.24148709,0.0,0.0,23596770.4840625,1030813.24033576,358596.149199987,549568.227916432,189695.676819871,71783.9373608825,0.0,0.0,1815654.74406362,3173.84775118342,50443127.2828756,13.1355928614803,1607987.58714979,2395196.15541474,4003183.74256453,1.04244511838337,50546.49,33972.24,67.2099,1424596.9,1874537.14,11096865.58,3240076.06,1046215.39,1037902.66,653877.05,8.4393,40.1677,59.8323,54.7469,7.526,1.0424,13.1356,89.92,67.2099,20374070.78
ZetaTrac LLC,2012,46.0,46.0,0.9882,3776608.6975279,32640304.6738577,8.6427552569117,20861234.3086384,1927433.11946572,18933801.1891727,96371.655973286,2075080.21107652,0.0,0.0,25456306.7162594,904950.042256205,344514.411959861,454978.726633974,179950.93276615,80775.2663858881,0.0,0.0,1790385.96283329,3606.57078983259,52151783.1495996,13.8091571900836,1690655.32866588,2366725.14864659,4057380.47731247,1.07434494867534,39793.21,28124.2,70.6759,1449024.34,1749183.81,11420331.45,3163576.53,1068605.14,985617.17,607671.18,9.2393,41.6686,58.3314,56.0201,8.6428,1.0743,13.8092,98.82,70.6759,20444009.62
ZetaTrac LLC,2013,46.0,46.0,0.8632,4468028.86866453,38513142.555835,8.61971658821137,20224545.9305495,2030403.90408258,18194142.0264669,101520.195204129,2128533.11005027,0.0,0.0,25300127.2034393,821832.408776239,364252.936310442,451860.579123998,184387.437745371,72968.2855978775,0.0,0.0,1801055.71547594,3213.14857603957,51352776.755645,11.4933851738953,1675359.64640176,2274267.75330837,3949627.39971013,0.883975353742655,38413.64,31466.77,81.9156,1416028.97,1837571.2,10641937.77,3316812.74,981892.16,1051479.63,588846.13,10.0393,42.4182,57.5818,56.4715,8.6197,0.884,11.4934,86.32,81.9156,19834568.6
ZetaTrac LLC,2014,46.0,46.0,0.9859,4288801.76984223,34192705.9769082,7.97255452964571,22354796.5706975,2423104.64128584,19931691.9294116,121155.232064292,2255922.51016232,0.0,0.0,27075581.8885177,722677.064136008,362460.589664905,413724.210729077,196927.4324822,80268.4347282922,0.0,0.0,1884658.95025801,3247.73441764745,55350265.3857936,12.905764443347,1768605.78664476,2491461.49117645,4260067.27782121,0.993300111881347,40035.17,22414.43,55.9868,1560464.7,2024977.28,11761170.89,3675317.27,1112518.74,1120466.03,666671.19,10.8393,41.5159,58.4841,55.5364,7.9726,0.9933,12.9058,98.59,55.9868,21921586.1
ZetaTrac LLC,2015,47.0,47.0,1.0,4568225.65252469,37284706.2813747,8.16174793396399,22947058.6084317,2670878.20038191,20276180.4080498,133543.910019095,2285316.86605404,0.0,0.0,26133702.1519869,718950.40248677,396784.152934369,414582.644823923,202004.655322356,81551.1038340578,0.0,0.0,1918031.19200549,3233.38450455579,55101215.1623841,12.0618418076462,1719980.82239471,2534522.55100623,4254503.37340094,0.931325135186706,49361.24,34607.31,70.1103,1489493.17,1920356.03,12559567.44,3683428.08,1087953.01,1076651.27,670668.44,11.6393,40.4273,59.5727,54.2072,8.1617,0.9313,12.0618,100.0,70.1103,22488117.44
ZetaTrac LLC,2016,47.0,47.0,1.0,4163373.70304042,33697918.8018861,8.09389721063887,21817980.0573094,2714005.1416129,19103974.9156965,135700.257080645,2160962.2789604,0.0,0.0,25010125.4821143,592699.295279621,389096.921337314,373913.351010927,188017.120951583,81149.7719347992,0.0,0.0,1790562.30629498,3624.22775055157,52408130.8129439,12.5878997541516,1633134.25691881,2387996.86446207,4021131.12138088,0.965834779242693,45218.98,25180.38,55.6854,1474744.21,2006026.91,12190596.0,3325791.85,1060568.97,1061561.98,665790.46,12.4393,40.6138,59.3862,54.2458,8.0939,0.9658,12.5879,100.0,55.6854,21785080.38
ZetaTrac LLC,2017,47.0,47.0,1.0,4827094.49866565,40160297.8785704,8.31976624648056,23034086.415276,3049553.01512887,19984533.4001471,152477.650756444,2275821.70695522,0.0,0.0,27733669.9876498,534596.139063968,435764.257845123,345029.454622266,216914.621259014,78932.1778991075,0.0,0.0,1905485.99948001,3411.28584071995,56563712.0458912,11.7179624433553,1789533.9333625,2498066.67501839,4287600.60838089,0.888236310593485,39282.77,22709.74,57.8109,1626231.25,1964731.21,12594959.98,3514378.07,1082596.31,1098805.84,691702.03,13.2393,41.7374,58.2626,55.2542,8.3198,0.8882,11.718,100.0,57.8109,22573404.69
ZetaTrac LLC,2018,48.0,48.0,1.0,4402140.73239252,33441999.3780158,7.59675835257551,21997368.7105079,3088277.74316009,18909090.9673478,154413.887158005,2486431.49111158,0.0,0.0,27364440.1515075,444220.881338858,418649.101907872,302137.036006288,202460.321493308,76292.6644677297,0.0,0.0,1982954.5984835,3437.10434063161,55278392.0611651,12.557161486094,1758928.51339132,2363636.37091847,4122564.88430979,0.936490933598394,61585.4,47676.91,77.4159,1523983.97,2013040.06,11741626.48,3446775.7,1143460.16,1046305.05,632567.9,14.0393,42.6659,57.3341,55.7082,7.5968,0.9365,12.5572,100.0,77.4159,21547759.32
