Company,Row,Year,Data,Section,Row_Label,Notes,Consistency test
VerdaTyres Corp,1,2009,53.0,ISO 14001,Total no. of sites,,
VerdaTyres Corp,2,2009,53.0,ISO 14001,ISO 14001 sites,,
VerdaTyres Corp,3,2009,0.9595,ISO 14001,% certified sites,,
VerdaTyres Corp,5,2009,1287667.40731299,Production,Production,,
VerdaTyres Corp,7,2009,10733992.5078151,Water,Water intake,,
VerdaTyres Corp,8,2009,8.33599767055848,Water,Water intake - KPI,,
VerdaTyres Corp,10,2009,5280887.97979024,Energy,Total Electricity,,
VerdaTyres Corp,11,2009,561095.142946107,Energy,Renewable Electricity Purchased,,
VerdaTyres Corp,12,2009,4719792.83684414,Energy,Non-Renewable Electricity Purchased,,
VerdaTyres Corp,13,2009,28054.7571473054,Energy,Self-generated AND consumed electricity on-site,,
VerdaTyres Corp,14,2009,159571.441116187,Energy,Purchased Steam,,
VerdaTyres Corp,15,2009,0.0,Energy,Sold Electricity,,
VerdaTyres Corp,16,2009,0.0,Energy,Sold Steam,,
VerdaTyres Corp,17,2009,5551786.00771981,Energy,Natural Gas,,
VerdaTyres Corp,18,2009,167057.665242952,Energy,Coal,,
VerdaTyres Corp,19,2009,182524.711515381,Energy,Propane,,
VerdaTyres Corp,20,2009,403030.434586812,Energy,Fuel Oil,,
VerdaTyres Corp,21,2009,87500.6473025274,Energy,Diesel,,
VerdaTyres Corp,22,2009,18230.9649917761,Energy,Petrol,,
VerdaTyres Corp,23,2009,0.0,Energy,Biomass,,
VerdaTyres Corp,24,2009,0.0,Energy,Waste tires,,
VerdaTyres Corp,25,2009,387829.320214949,Energy,LPG,,
VerdaTyres Corp,26,2009,2289.46244573487,Energy,Other,,
VerdaTyres Corp,28,2009,12240708.6349264,Energy,Total energy,,
VerdaTyres Corp,29,2009,9.50611047962254,Energy,Total energy - KPI,,
VerdaTyres Corp,31,2009,311455.195033081,CO2 emissions,Natural Gas,,
VerdaTyres Corp,32,2009,15870.4781980805,CO2 emissions,Coal,,
VerdaTyres Corp,33,2009,11517.3092966206,CO2 emissions,Propane,,
VerdaTyres Corp,34,2009,31194.5556370193,CO2 emissions,Fuel Oil,,
VerdaTyres Corp,35,2009,6483.79796511728,CO2 emissions,Diesel,,
VerdaTyres Corp,36,2009,1263.40587393009,CO2 emissions,Petrol,,
VerdaTyres Corp,37,2009,0.0,CO2 emissions,Biomass,,
VerdaTyres Corp,38,2009,0.0,CO2 emissions,Waste tires,,
VerdaTyres Corp,39,2009,21757.2248640587,CO2 emissions,LPG,,
VerdaTyres Corp,40,2009,164.612349848337,CO2 emissions,Other,,
VerdaTyres Corp,41,2009,399706.579217756,CO2 emissions,Total CO2 - Scope 1,,
VerdaTyres Corp,43,2009,589974.104605517,CO2 emissions,Total CO2 - Scope 2,,
VerdaTyres Corp,45,2009,989680.683823273,CO2 emissions,Total CO2,,
VerdaTyres Corp,46,2009,0.768584091049154,CO2 emissions,Total CO2 - KPI,,
VerdaTyres Corp,1,2010,53.0,ISO 14001,Total no. of sites,,
VerdaTyres Corp,2,2010,53.0,ISO 14001,ISO 14001 sites,,
VerdaTyres Corp,3,2010,0.862,ISO 14001,% certified sites,,
VerdaTyres Corp,5,2010,1215645.13986388,Production,Production,,
VerdaTyres Corp,7,2010,9644463.88354261,Water,Water intake,,
VerdaTyres Corp,8,2010,7.93361776992139,Water,Water intake - KPI,,
VerdaTyres Corp,10,2010,4710754.10689004,Energy,Total Electricity,,
VerdaTyres Corp,11,2010,538204.365965912,Energy,Renewable Electricity Purchased,,
VerdaTyres Corp,12,2010,4172549.74092413,Energy,Non-Renewable Electricity Purchased,,
VerdaTyres Corp,13,2010,26910.2182982956,Energy,Self-generated AND consumed electricity on-site,,
VerdaTyres Corp,14,2010,160876.921796625,Energy,Purchased Steam,,
VerdaTyres Corp,15,2010,0.0,Energy,Sold Electricity,,
VerdaTyres Corp,16,2010,0.0,Energy,Sold Steam,,
VerdaTyres Corp,17,2010,5766108.87047297,Energy,Natural Gas,,
VerdaTyres Corp,18,2010,144393.385807513,Energy,Coal,,
VerdaTyres Corp,19,2010,179792.387651147,Energy,Propane,,
VerdaTyres Corp,20,2010,345110.514956583,Energy,Fuel Oil,,
VerdaTyres Corp,21,2010,85288.7081675468,Energy,Diesel,,
VerdaTyres Corp,22,2010,18886.483688463,Energy,Petrol,,
VerdaTyres Corp,23,2010,0.0,Energy,Biomass,,
VerdaTyres Corp,24,2010,0.0,Energy,Waste tires,,
VerdaTyres Corp,25,2010,438829.610537897,Energy,LPG,,
VerdaTyres Corp,26,2010,2435.46995175256,Energy,Other,,
VerdaTyres Corp,28,2010,11852476.4599205,Energy,Total energy,,
VerdaTyres Corp,29,2010,9.74994763788366,Energy,Total energy - KPI,,
VerdaTyres Corp,31,2010,323478.707633534,CO2 emissions,Natural Gas,,
VerdaTyres Corp,32,2010,13717.3716517137,CO2 emissions,Coal,,
VerdaTyres Corp,33,2010,11344.8996607874,CO2 emissions,Propane,,
VerdaTyres Corp,34,2010,26711.5538576395,CO2 emissions,Fuel Oil,,
VerdaTyres Corp,35,2010,6319.89327521522,CO2 emissions,Diesel,,
VerdaTyres Corp,36,2010,1308.83331961048,CO2 emissions,Petrol,,
VerdaTyres Corp,37,2010,0.0,CO2 emissions,Biomass,,
VerdaTyres Corp,38,2010,0.0,CO2 emissions,Waste tires,,
VerdaTyres Corp,39,2010,24618.341151176,CO2 emissions,LPG,,
VerdaTyres Corp,40,2010,175.110289531009,CO2 emissions,Other,,
VerdaTyres Corp,41,2010,407674.710839207,CO2 emissions,Total CO2 - Scope 1,,
VerdaTyres Corp,43,2010,521568.717615516,CO2 emissions,Total CO2 - Scope 2,,
VerdaTyres Corp,45,2010,929243.428454723,CO2 emissions,Total CO2,,
VerdaTyres Corp,46,2010,0.764403523678611,CO2 emissions,Total CO2 - KPI,,
VerdaTyres Corp,1,2011,53.0,ISO 14001,Total no. of sites,,
VerdaTyres Corp,2,2011,53.0,ISO 14001,ISO 14001 sites,,
VerdaTyres Corp,3,2011,0.9594,ISO 14001,% certified sites,,
VerdaTyres Corp,5,2011,1220912.53676841,Production,Production,,
VerdaTyres Corp,7,2011,9573912.2563923,Water,Water intake,,
VerdaTyres Corp,8,2011,7.84160369237683,Water,Water intake - KPI,,
VerdaTyres Corp,10,2011,5055307.26175877,Energy,Total Electricity,,
VerdaTyres Corp,11,2011,618012.073879846,Energy,Renewable Electricity Purchased,,
VerdaTyres Corp,12,2011,4437295.18787892,Energy,Non-Renewable Electricity Purchased,,
VerdaTyres Corp,13,2011,30900.6036939923,Energy,Self-generated AND consumed electricity on-site,,
VerdaTyres Corp,14,2011,184254.041287847,Energy,Purchased Steam,,
VerdaTyres Corp,15,2011,0.0,Energy,Sold Electricity,,
VerdaTyres Corp,16,2011,0.0,Energy,Sold Steam,,
VerdaTyres Corp,17,2011,5910737.33070644,Energy,Natural Gas,,
VerdaTyres Corp,18,2011,137720.195576777,Energy,Coal,,
VerdaTyres Corp,19,2011,193639.960826157,Energy,Propane,,
VerdaTyres Corp,20,2011,361692.980823474,Energy,Fuel Oil,,
VerdaTyres Corp,21,2011,94760.1245544441,Energy,Diesel,,
VerdaTyres Corp,22,2011,16887.8461422541,Energy,Petrol,,
VerdaTyres Corp,23,2011,0.0,Energy,Biomass,,
VerdaTyres Corp,24,2011,0.0,Energy,Waste tires,,
VerdaTyres Corp,25,2011,406256.513568353,Energy,LPG,,
VerdaTyres Corp,26,2011,2322.99486032753,Energy,Other,,
VerdaTyres Corp,28,2011,12363579.2501048,Energy,Total energy,,
VerdaTyres Corp,29,2011,10.126506918202,Energy,Total energy - KPI,,
VerdaTyres Corp,31,2011,331592.364252631,CO2 emissions,Natural Gas,,
VerdaTyres Corp,32,2011,13083.4185797938,CO2 emissions,Coal,,
VerdaTyres Corp,33,2011,12218.6815281305,CO2 emissions,Propane,,
VerdaTyres Corp,34,2011,27995.0367157369,CO2 emissions,Fuel Oil,,
VerdaTyres Corp,35,2011,7021.72522948431,CO2 emissions,Diesel,,
VerdaTyres Corp,36,2011,1170.32773765821,CO2 emissions,Petrol,,
VerdaTyres Corp,37,2011,0.0,CO2 emissions,Biomass,,
VerdaTyres Corp,38,2011,0.0,CO2 emissions,Waste tires,,
VerdaTyres Corp,39,2011,22790.9904111846,CO2 emissions,LPG,,
VerdaTyres Corp,40,2011,167.02333045755,CO2 emissions,Other,,
VerdaTyres Corp,41,2011,416039.567785077,CO2 emissions,Total CO2 - Scope 1,,
VerdaTyres Corp,43,2011,554661.898484865,CO2 emissions,Total CO2 - Scope 2,,
VerdaTyres Corp,45,2011,970701.466269942,CO2 emissions,Total CO2,,
VerdaTyres Corp,46,2011,0.795062248143721,CO2 emissions,Total CO2 - KPI,,
VerdaTyres Corp,1,2012,54.0,ISO 14001,Total no. of sites,,
VerdaTyres Corp,2,2012,54.0,ISO 14001,ISO 14001 sites,,
VerdaTyres Corp,3,2012,0.8816,ISO 14001,% certified sites,,
VerdaTyres Corp,5,2012,1270375.09468501,Production,Production,,
VerdaTyres Corp,7,2012,11274943.8315235,Water,Water intake,,
VerdaTyres Corp,8,2012,8.87528721138789,Water,Water intake - KPI,,
VerdaTyres Corp,10,2012,5595261.08950538,Energy,Total Electricity,,
VerdaTyres Corp,11,2012,728783.599333658,Energy,Renewable Electricity Purchased,,
VerdaTyres Corp,12,2012,4866477.49017173,Energy,Non-Renewable Electricity Purchased,,
VerdaTyres Corp,13,2012,36439.1799666829,Energy,Self-generated AND consumed electricity on-site,,
VerdaTyres Corp,14,2012,169751.938965087,Energy,Purchased Steam,,
VerdaTyres Corp,15,2012,0.0,Energy,Sold Electricity,,
VerdaTyres Corp,16,2012,0.0,Energy,Sold Steam,,
VerdaTyres Corp,17,2012,6066090.15216947,Energy,Natural Gas,,
VerdaTyres Corp,18,2012,123274.555326472,Energy,Coal,,
VerdaTyres Corp,19,2012,205334.681214941,Energy,Propane,,
VerdaTyres Corp,20,2012,321702.527567948,Energy,Fuel Oil,,
VerdaTyres Corp,21,2012,89417.9489505768,Energy,Diesel,,
VerdaTyres Corp,22,2012,16937.4993315746,Energy,Petrol,,
VerdaTyres Corp,23,2012,0.0,Energy,Biomass,,
VerdaTyres Corp,24,2012,0.0,Energy,Waste tires,,
VerdaTyres Corp,25,2012,454001.615628926,Energy,LPG,,
VerdaTyres Corp,26,2012,2302.80701909742,Energy,Other,,
VerdaTyres Corp,28,2012,13044074.8156795,Energy,Total energy,,
VerdaTyres Corp,29,2012,10.2678924281917,Energy,Total energy - KPI,,
VerdaTyres Corp,31,2012,340307.657536708,CO2 emissions,Natural Gas,,
VerdaTyres Corp,32,2012,11711.0827560148,CO2 emissions,Coal,,
VerdaTyres Corp,33,2012,12956.6183846628,CO2 emissions,Propane,,
VerdaTyres Corp,34,2012,24899.7756337592,CO2 emissions,Fuel Oil,,
VerdaTyres Corp,35,2012,6625.87001723774,CO2 emissions,Diesel,,
VerdaTyres Corp,36,2012,1173.76870367812,CO2 emissions,Petrol,,
VerdaTyres Corp,37,2012,0.0,CO2 emissions,Biomass,,
VerdaTyres Corp,38,2012,0.0,CO2 emissions,Waste tires,,
VerdaTyres Corp,39,2012,25469.4906367828,CO2 emissions,LPG,,
VerdaTyres Corp,40,2012,165.571824673104,CO2 emissions,Other,,
VerdaTyres Corp,41,2012,423309.835493516,CO2 emissions,Total CO2 - Scope 1,,
VerdaTyres Corp,43,2012,608309.686271466,CO2 emissions,Total CO2 - Scope 2,,
VerdaTyres Corp,45,2012,1031619.52176498,CO2 emissions,Total CO2,,
VerdaTyres Corp,46,2012,0.812058994293156,CO2 emissions,Total CO2 - KPI,,
VerdaTyres Corp,1,2013,54.0,ISO 14001,Total no. of sites,,
VerdaTyres Corp,2,2013,54.0,ISO 14001,ISO 14001 sites,,
VerdaTyres Corp,3,2013,0.9847,ISO 14001,% certified sites,,
VerdaTyres Corp,5,2013,1368361.80967297,Production,Production,,
VerdaTyres Corp,7,2013,11158380.6729794,Water,Water intake,,
VerdaTyres Corp,8,2013,8.15455429558221,Water,Water intake - KPI,,
VerdaTyres Corp,10,2013,5157674.93619303,Energy,Total Electricity,,
VerdaTyres Corp,11,2013,713049.336471057,Energy,Renewable Electricity Purchased,,
VerdaTyres Corp,12,2013,4444625.59972198,Energy,Non-Renewable Electricity Purchased,,
VerdaTyres Corp,13,2013,35652.4668235529,Energy,Self-generated AND consumed electricity on-site,,
VerdaTyres Corp,14,2013,193257.58116723,Energy,Purchased Steam,,
VerdaTyres Corp,15,2013,0.0,Energy,Sold Electricity,,
VerdaTyres Corp,16,2013,0.0,Energy,Sold Steam,,
VerdaTyres Corp,17,2013,6065766.27762599,Energy,Natural Gas,,
VerdaTyres Corp,18,2013,106780.70313995,Energy,Coal,,
VerdaTyres Corp,19,2013,182762.830093751,Energy,Propane,,
VerdaTyres Corp,20,2013,285749.74313159,Energy,Fuel Oil,,
VerdaTyres Corp,21,2013,97012.732715487,Energy,Diesel,,
VerdaTyres Corp,22,2013,18478.1303689174,Energy,Petrol,,
VerdaTyres Corp,23,2013,0.0,Energy,Biomass,,
VerdaTyres Corp,24,2013,0.0,Energy,Waste tires,,
VerdaTyres Corp,25,2013,454313.121016137,Energy,LPG,,
VerdaTyres Corp,26,2013,2226.51051368441,Energy,Other,,
VerdaTyres Corp,28,2013,12564022.5659658,Energy,Total energy,,
VerdaTyres Corp,29,2013,9.18179861287452,Energy,Total energy - KPI,,
VerdaTyres Corp,31,2013,340289.488174818,CO2 emissions,Natural Gas,,
VerdaTyres Corp,32,2013,10144.1667982953,CO2 emissions,Coal,,
VerdaTyres Corp,33,2013,11532.3345789157,CO2 emissions,Propane,,
VerdaTyres Corp,34,2013,22117.0301183851,CO2 emissions,Fuel Oil,,
VerdaTyres Corp,35,2013,7188.64349421759,CO2 emissions,Diesel,,
VerdaTyres Corp,36,2013,1280.53443456598,CO2 emissions,Petrol,,
VerdaTyres Corp,37,2013,0.0,CO2 emissions,Biomass,,
VerdaTyres Corp,38,2013,0.0,CO2 emissions,Waste tires,,
VerdaTyres Corp,39,2013,25486.9660890053,CO2 emissions,LPG,,
VerdaTyres Corp,40,2013,160.086105933909,CO2 emissions,Other,,
VerdaTyres Corp,41,2013,418199.249794137,CO2 emissions,Total CO2 - Scope 1,,
VerdaTyres Corp,43,2013,555578.199965247,CO2 emissions,Total CO2 - Scope 2,,
