Company,Year,Total no. of sites,ISO 14001 sites,% certified sites,Production,Water intake,Water intake - KPI,Total Electricity,Renewable Electricity Purchased,Non-Renewable Electricity Purchased,Self-generated AND consumed electricity on-site,Purchased Steam,Sold Electricity,Sold Steam,Natural Gas,Coal,Propane,Fuel Oil,Diesel,Petrol,Biomass,Waste tires,LPG,Other,Total energy,Total energy - KPI,Total CO2 - Scope 1,Total CO2 - Scope 2,Total CO2,Total CO2 - KPI,Renewable_Electricity_Share_%,Scope1_Share_%,Scope2_Share_%,Fossil_Energy_Share_%,Water_per_ton,CO2_per_ton,Energy_per_ton,ISO_Certification_%
AlphaTread Ltd,2009,14,14,0.9578,805064.4991,6776399.496,8.41721316,2951009.072,440098.8982,2510910.174,22004.94491,429856.0713,0,0,3776083.183,480409.171,279038.9574,468207.0705,61706.54194,21935.97725,0,0,958146.2064,2229.651884,9428621.902,11.71163542,371328.6554,313863.7717,685192.4271,0.851102524,14.9135,54.1933,45.8067,64.1425,8.4172,0.8511,11.7116,95.78
AlphaTread Ltd,2010,14,14,0.862,878191.9694,7430771.621,8.461443375,3174018.51,498749.571,2675268.939,24937.47855,421355.4103,0,0,3660133.288,416794.2924,292278.9264,459276.9063,63352.46994,22344.78667,0,0,917621.0765,2390.52817,9429566.195,10.73747714,356813.1011,334408.6174,691221.7186,0.787096378,15.7135,51.6206,48.3794,61.8713,8.4614,0.7871,10.7375,86.2
AlphaTread Ltd,2011,14,14,0.9902,840895.8491,7137289.482,8.487721148,3313518.823,547178.1108,2766340.712,27358.90554,402307.4254,0,0,3850000.694,421654.6609,272791.7495,440181.0916,66507.12684,20426.39204,0,0,945953.7258,2547.080068,9735888.769,11.57799599,366920.2737,345792.5891,712712.8628,0.847563778,16.5135,51.4822,48.5178,61.8337,8.4877,0.8476,11.578,99.02
AlphaTread Ltd,2012,15,15,0.861,925877.8098,7870332.678,8.500401019,3155804.757,546380.428,2609424.329,27319.0214,459657.1192,0,0,4252777.699,399854.4347,282496.5139,404869.0542,68948.12116,22640.02755,0,0,992405.2255,2542.844766,10041995.8,10.84591907,388264.1684,326178.0411,714442.2095,0.771637685,17.3135,54.3451,45.6549,63.9966,8.5004,0.7716,10.8459,86.1
AlphaTread Ltd,2013,15,15,0.8512,899363.106,8419229.293,9.36132385,3247543.837,588244.0294,2659299.808,29412.20147,451354.1693,0,0,4389786.739,323471.2965,277063.4322,377782.3469,67545.49284,21127.33958,0,0,1014391.313,2441.081322,10172507.05,11.3107898,387271.9775,332412.476,719684.4535,0.800215673,18.1135,53.8114,46.1886,63.6383,9.3613,0.8002,11.3108,85.12
AlphaTread Ltd,2014,15,15,0.9451,855115.2359,7330781.453,8.572857956,3425204.293,647826.2,2777378.093,32391.31,479026.733,0,0,4427250.379,289938.7079,298246.9921,364429.2215,63056.38395,22877.1063,0,0,1042716.051,2269.101993,10415014.97,12.1796625,387856.5108,347172.2616,735028.7725,0.859566923,18.9135,52.7675,47.2325,62.5134,8.5729,0.8596,12.1797,94.51
AlphaTread Ltd,2015,16,16,1,953054.1221,8561252.492,8.982965704,3467171.272,683500.997,2783670.275,34175.04985,423772.362,0,0,3996741.287,293733.8916,328596.3552,355310.6935,73767.97857,22215.43412,0,0,984279.4666,2218.333763,9947807.075,10.43781968,362740.6967,347958.7844,710699.4811,0.745707368,19.7135,51.04,48.96,60.8864,8.983,0.7457,10.4378,100
AlphaTread Ltd,2016,16,16,1,908820.9329,8613840.229,9.478038981,3753820.85,770040.244,2983780.606,38502.0122,496961.4432,0,0,4661045.718,232076.4728,302720.5084,306725.8288,74748.03015,23273.58228,0,0,1049716.472,2404.489072,10903493.39,11.99740565,392587.838,372972.5758,765560.4138,0.842366616,20.5135,51.2811,48.7189,61.0145,9.478,0.8424,11.9974,100
AlphaTread Ltd,2017,16,16,1,904609.1195,8613765.711,9.522085866,3873796.184,825641.7601,3048154.424,41282.088,516402.8404,0,0,4697104.893,222775.8272,297580.1342,313790.4853,71102.01008,23437.34718,0,0,1140984.202,2496.356878,11159470.28,12.33623456,398817.547,381019.303,779836.85,0.862070516,21.3135,51.1412,48.8588,60.6594,9.5221,0.8621,12.3362,100
AlphaTread Ltd,2018,17,17,1,1026082.305,8800585.214,8.576880407,3908328.093,864268.3452,3044059.748,43213.41726,459123.7464,0,0,4839832.025,186689.4812,314176.8596,291189.7928,74112.2278,21242.55675,0,0,1163529.973,2256.133527,11260480.89,10.97424723,404012.7999,380507.4685,784520.2684,0.764578304,22.1135,51.4981,48.5019,61.2143,8.5769,0.7646,10.9742,100
