Year,n_companies,Total_Production,Total_Energy,Total_CO2,Total_Water,Avg_Energy_KPI,Avg_CO2_KPI,Avg_Water_KPI,Avg_Renewable_Share,Avg_ISO_Cert
2009,10,26400960.525991127,353457165.17567694,27143265.593545295,202014838.0271763,14.4356333801852,1.1116758387614225,7.990623195062381,9.960550000000001,93.512
2010,10,27114339.042768434,368771575.7888561,28283848.213473998,204005040.9378265,14.621206194177853,1.125126777907775,7.8426017292418235,10.76055,91.61800000000001
2011,10,28088627.416129716,366640012.8539103,28078822.960198116,210319969.4738777,14.047190293954733,1.0783653801832656,7.770053735566362,11.56055,93.957
2012,10,28529296.86362897,375463112.6482422,28576819.549874254,220790266.4170074,14.030130997265974,1.071047197912795,8.025712752764615,12.36055,91.892
2013,10,29406870.663093936,388000059.63152194,29180851.139892876,229345440.9489519,14.368601402418864,1.0833947309308694,8.13451768940728,13.16055,90.987
2014,10,29664904.760708302,391451866.8855202,29220017.22364821,221772180.8532933,14.105311576031752,1.0531522131738802,7.791587935790984,13.960550000000001,92.317
2015,10,30082429.215976197,405179432.8918867,30162029.544186976,224926750.25480768,14.243445229494956,1.0630478983882488,7.822978734219655,14.76055,100.0
2016,10,30589610.254871927,401733785.1814331,29829109.314336956,229129594.7004924,13.967191715814158,1.038430186752455,7.824885552781389,15.560550000000001,100.0
2017,10,31656309.260093585,405787661.0237987,29917427.23270287,245741957.9934229,13.636857108531155,1.0041413588577532,8.078229823208364,16.36055,100.0
2018,10,32252408.95714827,418010535.4296636,30612863.337784097,240564642.71161765,13.719099062293546,1.0077498554422095,7.704218024893874,17.16055,100.0
2019,10,32399484.465959657,427295218.5714701,31056108.74620507,240813771.7824425,13.909153650601283,1.0117169821758043,7.691840149832283,17.96055,100.0
2020,10,34188997.10640722,438200897.95576537,31824862.648832694,259269879.83843786,13.677054399812835,0.9942757278860853,7.831940090555966,18.760550000000002,100.0
2021,10,34288895.76744999,446508513.1647888,32115108.368795577,260900906.8908815,13.724893515766576,0.9888639756985114,7.933538036901034,19.56055,100.0
2022,10,35336655.2446901,452296319.8356645,32130758.199525498,276354756.7233498,13.79052281188368,0.9818850000920296,8.17854354966314,20.36055,100.0
2023,10,35679908.53985054,455290608.5619045,32293118.43185407,273256975.0345661,13.553263012069616,0.9618497039195135,7.934266764215448,21.16055,100.0
